date,year,motu,site.name,distance.along.transect,algal.group,algal.species
11/5/21,Nov_21,Aie,A1,10,brown algae,Turbinaria ornata
11/5/21,Nov_21,Aie,A1,40,brown algae,Lobophora spp
11/5/21,Nov_21,Aie,A1,40,brown algae,Turbinaria ornata
11/5/21,Nov_21,Aie,A1,40,green algae,Caulerpa serrulata
11/5/21,Nov_21,Aie,A1,40,cyanobacteria,Schizothrix minuta
11/4/21,Nov_21,Aie,A2,10,brown algae,Lobophora spp
11/4/21,Nov_21,Aie,A2,10,brown algae,Turbinaria ornata
11/4/21,Nov_21,Aie,A2,10,green algae,Caulerpa serrulata
11/4/21,Nov_21,Aie,A2,10,cyanobacteria,Schizothrix minuta
11/4/21,Nov_21,Aie,A2,40,brown algae,Lobophora spp
11/4/21,Nov_21,Aie,A2,40,cyanobacteria,Hydrocoleum coccineum
11/4/21,Nov_21,Aie,A2,40,green algae,Chlorodesmis fastigiata
11/4/21,Nov_21,Aie,A2,40,cyanobacteria,Schizothrix minuta
11/4/21,Nov_21,Aie,A2,40,brown algae,Turbinaria ornata
11/4/21,Nov_21,Aie,A2,40,green algae,Neomeris vanbosseae
11/4/21,Nov_21,Aie,A2,40,green algae,Caulerpa serrulata
11/4/21,Nov_21,Aie,A2,40,green algae,Avrainvillea lacerata
11/4/21,Nov_21,Aie,A2,40,green algae,Halimeda distorta
11/4/21,Nov_21,Aie,A2,40,cyanobacteria,Pseudanabaena lonchoides
11/5/21,Nov_21,Reiono,Re2,10,cyanobacteria,Caldora penicillata
11/5/21,Nov_21,Reiono,Re2,10,green algae,Caulerpa chemnitzia
11/5/21,Nov_21,Reiono,Re2,10,green algae,Caulerpa serrulata
11/5/21,Nov_21,Reiono,Re2,10,green algae,Chlorodesmis fastigiata
11/5/21,Nov_21,Reiono,Re2,10,green algae,Halimeda distorta
11/5/21,Nov_21,Reiono,Re2,10,brown algae,Lobophora spp
11/5/21,Nov_21,Reiono,Re2,10,cyanobacteria,Schizothrix minuta
11/5/21,Nov_21,Reiono,Re2,10,brown algae,Turbinaria ornata
11/5/21,Nov_21,Reiono,Re2,40,cyanobacteria,Caldora penicillata
11/5/21,Nov_21,Reiono,Re2,40,green algae,Caulerpa serrulata
11/5/21,Nov_21,Reiono,Re2,40,green algae,Chlorodesmis fastigiata
11/5/21,Nov_21,Reiono,Re2,40,green algae,Cladophora fuliginosa
