date,motu,site.name,distance.along.transect,transect.id.Maya,transect.length,taxonomic.group,algal.species,abundance.cm2
11/4/21,Aie,A2,10,A2-10-T1,25m,brown algae,Lobophora spp,300
11/4/21,Aie,A2,10,A2-10-T1,25m,brown algae,Turbinaria ornata,3075
11/4/21,Aie,A2,10,A2-10-T1,25m,green algae,Caulerpa serrulata,25
11/4/21,Aie,A2,10,A2-10-T2,25m,brown algae,Lobophora spp,200
11/4/21,Aie,A2,10,A2-10-T2,25m,brown algae,Turbinaria ornata,2000
11/4/21,Aie,A2,10,A2-10-T2,25m,green algae,Caulerpa serrulata,25
11/4/21,Aie,A2,10,A2-10-T3,25m,brown algae,Lobophora spp,250
11/4/21,Aie,A2,10,A2-10-T3,25m,brown algae,Turbinaria ornata,3950
11/4/21,Aie,A2,10,A2-10-T3,25m,cyanobacteria,Schizothrix minuta,20
11/4/21,Aie,A2,10,A2-10-T3,25m,green algae,Caulerpa serrulata,25
11/4/21,Aie,A2,10,A2-10-T4,25m,brown algae,Lobophora spp,250
11/4/21,Aie,A2,10,A2-10-T4,25m,brown algae,Turbinaria ornata,3000
11/4/21,Aie,A2,10,A2-10-T4,25m,cyanobacteria,Schizothrix minuta,20
11/4/21,Aie,A2,10,A2-10-T4,25m,green algae,Caulerpa serrulata,50
11/4/21,Aie,A2,40,A2-40-T1,25m,brown algae,Lobophora spp,2000
11/4/21,Aie,A2,40,A2-40-T1,25m,cyanobacteria,Hydrocoleum coccineum,1800
11/4/21,Aie,A2,40,A2-40-T1,25m,green algae,Chlorodesmis fastigiata,50
11/4/21,Aie,A2,40,A2-40-T1,25m,cyanobacteria,Schizothrix minuta,80
11/4/21,Aie,A2,40,A2-40-T1,25m,brown algae,Turbinaria ornata,75
11/4/21,Aie,A2,40,A2-40-T1,25m,green algae,Neomeris vanbosseae,25
11/4/21,Aie,A2,40,A2-40-T1,25m,green algae,Caulerpa serrulata,25
11/4/21,Aie,A2,40,A2-40-T1,25m,green algae,Avrainvillea lacerata,200
11/4/21,Aie,A2,40,A2-40-T1,25m,green algae,Halimeda distorta,500
11/4/21,Aie,A2,40,A2-40-T2,25m,brown algae,Lobophora spp,2000
11/4/21,Aie,A2,40,A2-40-T2,25m,cyanobacteria,Hydrocoleum coccineum,1200
11/4/21,Aie,A2,40,A2-40-T2,25m,green algae,Chlorodesmis fastigiata,25
11/4/21,Aie,A2,40,A2-40-T2,25m,brown algae,Turbinaria ornata,100
11/4/21,Aie,A2,40,A2-40-T2,25m,green algae,Neomeris vanbosseae,25
11/4/21,Aie,A2,40,A2-40-T2,25m,green algae,Caulerpa serrulata,25
11/4/21,Aie,A2,40,A2-40-T2,25m,green algae,Halimeda distorta,500
11/4/21,Aie,A2,40,A2-40-T3,25m,brown algae,Lobophora spp,2000
11/4/21,Aie,A2,40,A2-40-T3,25m,cyanobacteria,Hydrocoleum coccineum,1500
11/4/21,Aie,A2,40,A2-40-T3,25m,green algae,Chlorodesmis fastigiata,25
11/4/21,Aie,A2,40,A2-40-T4,25m,brown algae,Lobophora spp,2000
11/4/21,Aie,A2,40,A2-40-T4,25m,green algae,Chlorodesmis fastigiata,50
11/4/21,Aie,A2,40,A2-40-T4,25m,cyanobacteria,Hydrocoleum coccineum,1000
11/4/21,Aie,A2,40,A2-40-T4,25m,cyanobacteria,Pseudanabaena lonchoides,100
11/5/21,Aie,A1,10,A1-10-T1,50m,brown algae,Turbinaria ornata,3325
11/5/21,Aie,A1,10,A1-10-T2,50m,brown algae,Turbinaria ornata,5975
11/5/21,Aie,A1,10,A1-10-T3,50m,brown algae,Turbinaria ornata,15025
11/5/21,Aie,A1,10,A1-10-T4,50m,brown algae,Turbinaria ornata,11825
11/5/21,Aie,A1,40,A1-40-T1,50m,brown algae,Lobophora spp,4100
11/5/21,Aie,A1,40,A1-40-T1,50m,brown algae,Turbinaria ornata,12500
11/5/21,Aie,A1,40,A1-40-T1,50m,cyanobacteria,Hydrocoleum spp,100
11/5/21,Aie,A1,40,A1-40-T2,50m,brown algae,Lobophora spp,5500
11/5/21,Aie,A1,40,A1-40-T2,50m,brown algae,Turbinaria ornata,12300
11/5/21,Aie,A1,40,A1-40-T2,50m,green algae,Chlorodesmis fastigiata,220
11/5/21,Aie,A1,40,A1-40-T2,50m,green algae,Avrainvillea lacerata,100
11/5/21,Aie,A1,40,A1-40-T3,50m,brown algae,Lobophora spp,4200
11/5/21,Aie,A1,40,A1-40-T3,50m,brown algae,Turbinaria ornata,10820
11/5/21,Aie,A1,40,A1-40-T3,50m,green algae,Caulerpa serrulata,100
11/5/21,Aie,A1,40,A1-40-T4,50m,brown algae,Lobophora spp,3500
11/5/21,Aie,A1,40,A1-40-T4,50m,brown algae,Turbinaria ornata,7000
11/5/21,Aie,A1,40,A1-40-T4,50m,green algae,Caulerpa serrulata,25
11/5/21,Aie,A1,40,A1-40-T4,50m,cyanobacteria,Schizothrix minuta,20
11/5/21,Reiono,Re2,10,RE1-10-T1,25m,brown algae,Turbinaria ornata,2600
11/5/21,Reiono,Re2,10,RE1-10-T1,25m,green algae,Chlorodesmis fastigiata,1700
11/5/21,Reiono,Re2,10,RE1-10-T1,25m,brown algae,Lobophora spp,900
11/5/21,Reiono,Re2,10,RE1-10-T1,25m,green algae,Caulerpa serrulata,100
11/5/21,Reiono,Re2,10,RE1-10-T1,25m,green algae,Caulerpa chemnitzia,200
11/5/21,Reiono,Re2,10,RE1-10-T1,25m,green algae,Halimeda distorta,50
11/5/21,Reiono,Re2,10,RE1-10-T1,25m,cyanobacteria,Caldora penicillata,100
