date,year,motu,site.name,distance.along.transect,transect.id.maya,transect.length,turbinaria.abundance.cm2,
11/4/21,Nov_21,Aie,A2,10,A2-10-T1,25m,3075,
11/4/21,Nov_21,Aie,A2,10,A2-10-T2,25m,2000,
11/4/21,Nov_21,Aie,A2,10,A2-10-T3,25m,3950,
11/4/21,Nov_21,Aie,A2,10,A2-10-T4,25m,3000,
11/4/21,Nov_21,Aie,A2,40,A2-40-T1,25m,75,
11/4/21,Nov_21,Aie,A2,40,A2-40-T2,25m,100,
11/4/21,Nov_21,Aie,A2,40,A2-40-T3,25m,0,
11/4/21,Nov_21,Aie,A2,40,A2-40-T4,25m,0,
11/5/21,Nov_21,Aie,A1,10,A1-10-T1,25m,1500,
11/5/21,Nov_21,Aie,A1,10,A1-10-T2,25m,1825,
11/5/21,Nov_21,Aie,A1,10,A1-10-T3,25m,2975,
11/5/21,Nov_21,Aie,A1,10,A1-10-T4,25m,3000,
11/5/21,Nov_21,Aie,A1,40,A1-40-T1,25m,5000,
11/5/21,Nov_21,Aie,A1,40,A1-40-T2,25m,5820,
11/5/21,Nov_21,Aie,A1,40,A1-40-T3,25m,3000,
11/5/21,Nov_21,Aie,A1,40,A1-40-T4,25m,4000,
11/5/21,Nov_21,Reiono,Re1,10,RE1-10-T1,25m,2600,
11/5/21,Nov_21,Reiono,Re1,10,RE1-10-T2,25m,4000,
11/5/21,Nov_21,Reiono,Re1,10,RE1-10-T3,25m,4500,
11/5/21,Nov_21,Reiono,Re1,10,RE1-10-T4,25m,5000,
11/5/21,Nov_21,Reiono,Re1,40,RE1-40-T1,25m,6000,
11/5/21,Nov_21,Reiono,Re1,40,RE1-40-T2,25m,5000,
11/5/21,Nov_21,Reiono,Re1,40,RE1-40-T3,25m,4000,
11/5/21,Nov_21,Reiono,Re1,40,RE1-40-T4,25m,2600,
11/6/21,Nov_21,Reiono,Re2,10,RE2-10-T1,25m,6900,
11/6/21,Nov_21,Reiono,Re2,10,RE2-10-T2,25m,900,
11/6/21,Nov_21,Reiono,Re2,10,RE2-10-T3,25m,1525,
11/6/21,Nov_21,Reiono,Re2,10,RE2-10-T4,25m,3700,
11/6/21,Nov_21,Reiono,Re2,40,RE2-40-T1,25m,15000,
11/6/21,Nov_21,Reiono,Re2,40,RE2-40-T2,25m,9400,
11/6/21,Nov_21,Reiono,Re2,40,RE2-40-T3,25m,10000,
11/6/21,Nov_21,Reiono,Re2,40,RE2-40-T4,25m,9900,
11/7/21,Nov_21,Rimatuu,Rm2,10,RI2-10-T1,25m,7675,
11/7/21,Nov_21,Rimatuu,Rm2,10,RI2-10-T2,25m,4000,
11/7/21,Nov_21,Rimatuu,Rm2,10,RI2-10-T3,25m,6025,
11/7/21,Nov_21,Rimatuu,Rm2,10,RI2-10-T4,25m,8150,
11/7/21,Nov_21,Rimatuu,Rm2,40,RI2-40-T1,25m,11400,
11/7/21,Nov_21,Rimatuu,Rm2,40,RI2-40-T2,25m,2300,
11/7/21,Nov_21,Rimatuu,Rm2,40,RI2-40-T3,25m,2200,
11/7/21,Nov_21,Rimatuu,Rm2,40,RI2-40-T4,25m,14100,
11/6/21,Nov_21,Rimatuu,Rm1,10,RI1-10-T1,25m,11540,
11/6/21,Nov_21,Rimatuu,Rm1,10,RI1-10-T2,25m,6025,
11/6/21,Nov_21,Rimatuu,Rm1,10,RI1-10-T3,25m,7950,
11/6/21,Nov_21,Rimatuu,Rm1,10,RI1-10-T4,25m,3550,
11/6/21,Nov_21,Rimatuu,Rm1,40,RI1-40-T1,25m,5725,
11/6/21,Nov_21,Rimatuu,Rm1,40,RI1-40-T2,25m,5450,
11/6/21,Nov_21,Rimatuu,Rm1,40,RI1-40-T3,25m,11800,
11/6/21,Nov_21,Rimatuu,Rm1,40,RI1-40-T4,25m,16100,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
