Date_collected,Month,Year,Motu,Purpose,Side,Site,Transect,Distance_to_shore,Collected_by,GPS_name,Longitude,Latitude,vial,N15,C13,N_percent,C_percent,Notes
8-Nov-21,Nov,2021,Aie,Transect,leeward,1,a,10,Hannah Epstein (OSU),232,-149.53554,-17.00918,AIEI TA 10 08/11/21,9.34,-8.01,0.49,27.06,
8-Nov-21,Nov,2021,Aie,Transect,leeward,1,a,20,Hannah Epstein (OSU),231,-149.53558,-17.00924,AIEI TA 20 08/11/21,8.04,-7.82,0.34,29.19,
8-Nov-21,Nov,2021,Aie,Transect,leeward,1,a,30,Hannah Epstein (OSU),230,-149.53563,-17.00931,AIEI TA 30 08/11/21,6.31,-8.46,0.48,26.08,
8-Nov-21,Nov,2021,Aie,Transect,leeward,1,a,40,Hannah Epstein (OSU),229,-149.53574,-17.00941,AIEI TA 40 08/11/21,5.67,-9.13,0.32,28.24,
8-Nov-21,Nov,2021,Aie,Transect,leeward,1,b,10,Hannah Epstein (OSU),237,-149.53566,-17.00905,AIEI Tb 10 08/11/21,8.9,-8.18,0.37,26.74,
8-Nov-21,Nov,2021,Aie,Transect,leeward,1,b,20,Hannah Epstein (OSU),238,-149.53574,-17.00915,AIEI Tb 20 08/11/21,6.6,-8.52,0.36,27.15,
8-Nov-21,Nov,2021,Aie,Transect,leeward,1,b,30,Hannah Epstein (OSU),241,-149.53583,-17.00924,AIEI Tb 30 08/11/21,5.81,-9.54,0.34,27.58,
8-Nov-21,Nov,2021,Aie,Transect,leeward,1,b,40,Hannah Epstein (OSU),240,-149.53592,-17.00928,AIEI Tb 40 08/11/21,5.28,-8.89,0.3,29.56,
8-Nov-21,Nov,2021,Aie,Transect,leeward,1,c,20,Hannah Epstein (OSU),245,-149.53598,-17.00895,AIEI Tc 20 08/11/21,7.86,-7.92,0.31,27.05,
8-Nov-21,Nov,2021,Aie,Transect,leeward,1,c,30,Hannah Epstein (OSU),246,-149.53604,-17.00899,AIEI Tc 30 08/11/21,7.38,-7.45,0.4,27.77,
8-Nov-21,Nov,2021,Aie,Transect,leeward,1,c,40,Hannah Epstein (OSU),247,-149.53612,-17.00907,AIEI Tc 40 08/11/21,7.06,-8.82,0.49,27.92,
9-Nov-21,Nov,2021,Aie,Transect,windward,2,a,10,Hannah Epstein (OSU),249,-149.5361,-17.00774,A2 Ta10 09/11/21,8.45,-9.34,0.44,26.28,
9-Nov-21,Nov,2021,Aie,Transect,windward,2,a,20,Hannah Epstein (OSU),251,-149.53613,-17.00763,A2 Ta20 09/11/21,7.38,-8.79,0.41,27.02,
9-Nov-21,Nov,2021,Aie,Transect,windward,2,a,30,Hannah Epstein (OSU),254,-149.53615,-17.00749,A2 Ta30 09/11/21,5.61,-9,0.34,28.38,
9-Nov-21,Nov,2021,Aie,Transect,windward,2,b,10,Hannah Epstein (OSU),259,-149.53595,-17.00767,A2 Tb10 09/11/21,6.83,-9.11,0.48,27.4,
9-Nov-21,Nov,2021,Aie,Transect,windward,2,b,20,Hannah Epstein (OSU),260,-149.53596,-17.00759,A2 Tb20 09/11/21,6.29,-8.71,0.34,28.65,
9-Nov-21,Nov,2021,Aie,Transect,windward,2,b,30,Hannah Epstein (OSU),261,-149.536,-17.0075,A2 Tb30 09/11/21,6.04,-8.79,0.37,29.48,
9-Nov-21,Nov,2021,Aie,Transect,windward,2,c,10,Hannah Epstein (OSU),267,-149.53572,-17.00764,A2 Tc10 09/11/21,7.3,-8.27,0.59,26.4,
9-Nov-21,Nov,2021,Aie,Transect,windward,2,c,20,Hannah Epstein (OSU),269,-149.53571,-17.00757,A2 Tc20 09/11/21,6.09,-10.58,0.52,27.27,
9-Nov-21,Nov,2021,Aie,Transect,windward,2,c,30,Hannah Epstein (OSU),270,-149.53572,-17.00749,A2 Tc30 09/11/21,7.03,-9.59,0.46,28.87,
10-Nov-21,Nov,2021,Reiono,Transect,leeward,1,a,10,Hannah Epstein (OSU),293,-149.54781,-17.04528,RE1 Ta10 10/11/21,10.66,-8.88,0.61,25.53,
10-Nov-21,Nov,2021,Reiono,Transect,leeward,1,a,20,Hannah Epstein (OSU),294,-149.54791,-17.04528,RE1 Ta20 10/11/21,8.62,-7.45,0.59,26.2,
10-Nov-21,Nov,2021,Reiono,Transect,leeward,1,a,30,Hannah Epstein (OSU),295,-149.54802,-17.04528,RE1 Ta30 10/11/21,6.63,-7.86,0.42,27.34,
10-Nov-21,Nov,2021,Reiono,Transect,leeward,1,a,40,Hannah Epstein (OSU),296,-149.5481,-17.04526,RE1 Ta40 10/11/21,6.18,-8.22,0.57,27.45,
10-Nov-21,Nov,2021,Reiono,Transect,leeward,1,b,10,Hannah Epstein (OSU),299,-149.54778,-17.04634,RE1 Tb10 10/11/21,8.65,-7.06,0.61,26.14,
10-Nov-21,Nov,2021,Reiono,Transect,leeward,1,b,20,Hannah Epstein (OSU),300,-149.54784,-17.04631,RE1 Tb20 10/11/21,7.5,-8.53,0.48,26.78,
10-Nov-21,Nov,2021,Reiono,Transect,leeward,1,b,30,Hannah Epstein (OSU),301,-149.54796,-17.04633,RE1 Tb30 10/11/21,7.28,-8.92,0.58,26.37,
10-Nov-21,Nov,2021,Reiono,Transect,leeward,1,b,40,Hannah Epstein (OSU),302,-149.54805,-17.0463,RE1 Tb40 10/11/21,5.15,-8.04,0.36,26.7,
10-Nov-21,Nov,2021,Reiono,Transect,leeward,1,c,10,Hannah Epstein (OSU),305,-149.54765,-17.04688,RE1 Tc10 10/11/21,9.43,-8.02,0.49,25.77,
10-Nov-21,Nov,2021,Reiono,Transect,leeward,1,c,20,Hannah Epstein (OSU),306,-149.54776,-17.04686,RE1 Tc20 10/11/21,7.99,-7.19,0.56,26.41,
10-Nov-21,Nov,2021,Reiono,Transect,leeward,1,c,30,Hannah Epstein (OSU),307,-149.54784,-17.04684,RE1 Tc30 10/11/21,7.07,-9.46,0.49,26.18,
10-Nov-21,Nov,2021,Reiono,Transect,leeward,1,c,40,Hannah Epstein (OSU),308,-149.54794,-17.04684,RE1 Tc40 10/11/21,6.68,-7.91,0.48,27.15,
5-Nov-21,Nov,2021,Reiono,Transect,windward,2,a,10,Hannah Epstein (OSU),274,-149.54433,-17.04488,RE2 TA10 05/11/21,5.76,-8.91,0.29,26.4,
5-Nov-21,Nov,2021,Reiono,Transect,windward,2,a,20,Hannah Epstein (OSU),275,-149.54424,-17.04486,RE2 TA20 05/11/21,6.21,-8.84,0.43,26.73,
5-Nov-21,Nov,2021,Reiono,Transect,windward,2,a,30,Hannah Epstein (OSU),276,-149.54414,-17.04482,RE2 TA30 05/11/21,5.65,-9.36,0.34,27.26,
5-Nov-21,Nov,2021,Reiono,Transect,windward,2,a,40,Hannah Epstein (OSU),277,-149.54407,-17.04478,RE2 TA40 05/11/21,5.97,-9.34,0.44,25.49,
5-Nov-21,Nov,2021,Reiono,Transect,windward,2,b,10,Hannah Epstein (OSU),280,-149.54422,-17.04511,RE2 TB10 05/11/21,7.62,-7.19,0.47,28.16,
5-Nov-21,Nov,2021,Reiono,Transect,windward,2,b,20,Hannah Epstein (OSU),281,-149.54414,-17.04508,RE2 TB20 05/11/21,5.65,-9.69,0.34,27.68,
5-Nov-21,Nov,2021,Reiono,Transect,windward,2,b,30,Hannah Epstein (OSU),282,-149.54405,-17.04507,RE2 TB30 05/11/21,5.38,-10.19,0.33,28.94,
5-Nov-21,Nov,2021,Reiono,Transect,windward,2,b,40,Hannah Epstein (OSU),283,-149.54398,-17.04504,RE2 TB40 05/11/21,5.09,-8.94,0.38,26.95,
5-Nov-21,Nov,2021,Reiono,Transect,windward,2,c,10,Hannah Epstein (OSU),286,-149.54399,-17.04559,RE2 TC10 05/11/21,7.23,-8.11,0.42,27.8,
5-Nov-21,Nov,2021,Reiono,Transect,windward,2,c,20,Hannah Epstein (OSU),287,-149.54388,-17.04558,RE2 TC20 05/11/21,4.69,-9.48,0.28,29.14,
5-Nov-21,Nov,2021,Reiono,Transect,windward,2,c,30,Hannah Epstein (OSU),288,-149.54381,-17.04556,RE2 TC30 05/11/21,5.07,-9.35,0.43,26.29,
5-Nov-21,Nov,2021,Reiono,Transect,windward,2,c,40,Hannah Epstein (OSU),289,-149.54372,-17.04553,RE2 TC40 05/11/21,4.64,-8.55,0.31,28.72,
7-Nov-21,Nov,2021,Rimatuu,Transect,leeward,1,a,10,Hannah Epstein (OSU),313,-149.56067,-17.02838,RM1 Ta10 07/11/21,3.51,-7.91,0.35,29.65,
7-Nov-21,Nov,2021,Rimatuu,Transect,leeward,1,a,20,Hannah Epstein (OSU),314,-149.56076,-17.02839,RM1 Ta20 07/11/21,3.37,-7.69,0.34,28.31,
7-Nov-21,Nov,2021,Rimatuu,Transect,leeward,1,a,30,Hannah Epstein (OSU),315,-149.56085,-17.0284,RM1 Ta30 07/11/21,3.51,-6.93,0.45,28.33,
7-Nov-21,Nov,2021,Rimatuu,Transect,leeward,1,a,40,Hannah Epstein (OSU),316,-149.56096,-17.0284,RM1 Ta40 07/11/21,3.25,-7.56,0.34,29.24,
7-Nov-21,Nov,2021,Rimatuu,Transect,leeward,1,b,10,Hannah Epstein (OSU),319,-149.56068,-17.02868,RM1 Tb10 07/11/21,4.07,-7.17,0.47,28.32,
7-Nov-21,Nov,2021,Rimatuu,Transect,leeward,1,b,20,Hannah Epstein (OSU),320,-149.56081,-17.02868,RM1 Tb20 07/11/21,3.4,-7.72,0.45,28.18,
7-Nov-21,Nov,2021,Rimatuu,Transect,leeward,1,b,30,Hannah Epstein (OSU),321,-149.5609,-17.02867,RM1 Tb30 07/11/21,3.33,-7.88,0.35,30.09,
7-Nov-21,Nov,2021,Rimatuu,Transect,leeward,1,b,40,Hannah Epstein (OSU),322,-149.56099,-17.02867,RM1 Tb40 07/11/21,3.15,-7.59,0.37,28.92,
7-Nov-21,Nov,2021,Rimatuu,Transect,leeward,1,c,10,Hannah Epstein (OSU),325,-149.5607,-17.029,RM1 Tc10 07/11/21,3.8,-7.62,0.41,27.88,
7-Nov-21,Nov,2021,Rimatuu,Transect,leeward,1,c,20,Hannah Epstein (OSU),326,-149.56079,-17.02899,RM1 Tc20 07/11/21,3.56,-7.7,0.43,29.46,
7-Nov-21,Nov,2021,Rimatuu,Transect,leeward,1,c,30,Hannah Epstein (OSU),327,-149.56091,-17.029,RM1 Tc30 07/11/21,3.45,-8.31,0.38,29.16,
7-Nov-21,Nov,2021,Rimatuu,Transect,leeward,1,c,40,Hannah Epstein (OSU),329,-149.56099,-17.02901,RM1 Tc40 07/11/21,2.73,-9.29,0.46,27.74,
2-Nov-21,Nov,2021,Rimatuu,Transect,windward,2,a,10,Hannah Epstein (OSU),332,-149.55611,-17.03311,RM2 Ta10 11/11/21,6.35,-9.01,0.41,26.31,
2-Nov-21,Nov,2021,Rimatuu,Transect,windward,2,a,20,Hannah Epstein (OSU),333,-149.55606,-17.0332,RM2 Ta20 11/11/21,6.09,-9.11,0.5,26.38,
2-Nov-21,Nov,2021,Rimatuu,Transect,windward,2,a,30,Hannah Epstein (OSU),334,-149.556,-17.03325,RM2 Ta30 11/11/21,5.33,-9.5,0.44,27.63,
2-Nov-21,Nov,2021,Rimatuu,Transect,windward,2,a,40,Hannah Epstein (OSU),335,-149.55594,-17.0332,RM2 Ta40 11/11/21,5.78,-8.69,0.5,26.05,
2-Nov-21,Nov,2021,Rimatuu,Transect,windward,2,b,10,Hannah Epstein (OSU),338,-149.55591,-17.03298,RM2 Tb10 11/11/21,5.66,-8.25,0.4,28.58,
2-Nov-21,Nov,2021,Rimatuu,Transect,windward,2,b,20,Hannah Epstein (OSU),339,-149.55588,-17.03306,RM2 Tb20 11/11/21,6.57,-9.28,0.48,25.42,
2-Nov-21,Nov,2021,Rimatuu,Transect,windward,2,b,30,Hannah Epstein (OSU),340,-149.55582,-17.03312,RM2 Tb30 11/11/21,6.19,-9.4,0.5,26.47,
2-Nov-21,Nov,2021,Rimatuu,Transect,windward,2,b,40,Hannah Epstein (OSU),341,-149.55576,-17.0332,RM2 Tb40 11/11/21,6.34,-8.95,0.49,26.92,
2-Nov-21,Nov,2021,Rimatuu,Transect,windward,2,c,10,Hannah Epstein (OSU),342,-149.55576,-17.03278,RM2 Tc10 11/11/21,7.93,-8.62,0.48,26.58,
2-Nov-21,Nov,2021,Rimatuu,Transect,windward,2,c,20,Hannah Epstein (OSU),343,-149.55569,-17.03285,RM2 Tc20 11/11/21,6.6,-9.22,0.54,26.21,
2-Nov-21,Nov,2021,Rimatuu,Transect,windward,2,c,30,Hannah Epstein (OSU),344,-149.5556,-17.03291,RM2 Tc30 11/11/21,6.71,-9.11,0.53,26.34,
2-Nov-21,Nov,2021,Rimatuu,Transect,windward,2,c,40,Hannah Epstein (OSU),345,-149.55554,-17.03296,RM2 Tc40 11/11/21,6.96,-9.24,0.57,26.33,
