"","N.15_at_10m","N.15_at_20m","N.15_at_30m","N.15_at_40m","breeding_biomass_kgha_100m","breeding_biomass_kgha_200m","breeding_biomass_kgha_side","breeding_biomass_kgha_motu","breeding_density_ha_100m","breeding_density_ha_200m","breeding_density_ha_side","breeding_density_ha_motu","adult_biomass_kgha_100m","adult_biomass_kgha_200m","adult_biomass_kgha_side","adult_biomass_kgha_motu","adult_density_ha_100m","adult_density_ha_200m","adult_density_ha_side","adult_density_ha_motu"
"N.15_at_10m",1,0.974543620142727,0.948069962560476,0.817692995524093,0.54173299096583,0.556523035176758,0.81279785314122,0.72108806374921,0.530200517710832,0.435847622196122,0.710395290887927,0.591559906975481,0.51356899864142,0.573560319730046,0.79931016438779,0.663765184714351,0.516697911271099,0.536362009402953,0.738990628430358,0.614942277246468
"N.15_at_20m",0.974543620142727,1,0.987086335644292,0.893682460418271,0.467686893194809,0.484873611425042,0.707910355909449,0.612393889571146,0.475279665099573,0.40317777640544,0.653020479391048,0.522734081786689,0.449822827362254,0.50427027339415,0.74840975921766,0.574505671200299,0.465078921012978,0.478656021071554,0.707953471060802,0.539794307070787
"N.15_at_30m",0.948069962560476,0.987086335644292,1,0.941545977492025,0.395782994571751,0.420145885535911,0.622316182925982,0.604787577735317,0.432080689933007,0.397097892700439,0.613281003122382,0.513566008847555,0.383873007298011,0.431461525019994,0.697474264789414,0.565950440900578,0.413383852962294,0.431611068343073,0.670100095669829,0.530782242213195
"N.15_at_40m",0.817692995524093,0.893682460418271,0.941545977492025,1,0.323790977398673,0.327000933866885,0.463132833834087,0.441343713345445,0.335609296761525,0.310133196279698,0.46113510432151,0.396990072712568,0.307036682650593,0.333267680845946,0.473569934302399,0.427331953008587,0.318846406381122,0.317403141537107,0.483240283718126,0.407948004470278
"breeding_biomass_kgha_100m",0.54173299096583,0.467686893194809,0.395782994571751,0.323790977398673,1,0.994561808657812,0.87592600224806,0.688724089646301,0.954593208919315,0.787029418915365,0.865895854198079,0.789517766477525,0.995529130685409,0.995877471404054,0.707406898613082,0.753093984639796,0.968185182398484,0.949071608545336,0.690778690227138,0.78097740625091
"breeding_biomass_kgha_200m",0.556523035176758,0.484873611425042,0.420145885535911,0.327000933866885,0.994561808657812,1,0.872466610937567,0.741319747919372,0.97931951843793,0.844962091138162,0.9085908187306,0.846752628702865,0.99741291241523,0.997695426738756,0.757517345172448,0.8089828012415,0.986965154767437,0.976302503279241,0.750134141378637,0.837980601523729
"breeding_biomass_kgha_side",0.81279785314122,0.707910355909449,0.622316182925982,0.463132833834087,0.87592600224806,0.872466610937567,1,0.791779013466721,0.805176164240203,0.62465403272175,0.857725949412663,0.739740853835974,0.845041959311649,0.888271914004249,0.838888172131213,0.77668872273364,0.810274354066295,0.812779102037658,0.770183395579031,0.75301325842797
"breeding_biomass_kgha_motu",0.72108806374921,0.612393889571146,0.604787577735317,0.441343713345445,0.688724089646301,0.741319747919372,0.791779013466721,1,0.787584791356921,0.815602879226833,0.904438518297547,0.938094864991747,0.694057392031641,0.720396825539648,0.877133790359578,0.982967019122205,0.747880244433316,0.798665677233685,0.86303249616035,0.954332603091091
"breeding_density_ha_100m",0.530200517710832,0.475279665099573,0.432080689933007,0.335609296761525,0.954593208919315,0.97931951843793,0.805176164240203,0.787584791356921,1,0.934691087196786,0.945269221468538,0.918694723598934,0.974592375573365,0.968031656207061,0.792601733846829,0.869603194333228,0.997160857172254,0.99863845417698,0.811024842753038,0.906749105295182
"breeding_density_ha_200m",0.435847622196122,0.40317777640544,0.397097892700439,0.310133196279698,0.787029418915365,0.844962091138162,0.62465403272175,0.815602879226833,0.934691087196786,1,0.925314831711502,0.965323280028221,0.833562255655621,0.819432768358347,0.797002210726665,0.907938698176433,0.912337076036194,0.939352405541057,0.853902336255087,0.951034877285027
"breeding_density_ha_side",0.710395290887927,0.653020479391048,0.613281003122382,0.46113510432151,0.865895854198079,0.9085908187306,0.857725949412663,0.904438518297547,0.945269221468538,0.925314831711502,1,0.964728671715274,0.883962102484378,0.901747350728219,0.943281755157545,0.950729024996994,0.930122302753727,0.955223997279992,0.949430966120087,0.963424517834117
"breeding_density_ha_motu",0.591559906975481,0.522734081786689,0.513566008847555,0.396990072712568,0.789517766477525,0.846752628702865,0.739740853835974,0.938094864991747,0.918694723598934,0.965323280028221,0.964728671715274,1,0.818934638758601,0.822919724368755,0.875869753747997,0.985774450592217,0.888409777474262,0.926479041929159,0.902179415533371,0.998733752002817
"adult_biomass_kgha_100m",0.51356899864142,0.449822827362254,0.383873007298011,0.307036682650593,0.995529130685409,0.99741291241523,0.845041959311649,0.694057392031641,0.974592375573365,0.833562255655621,0.883962102484378,0.818934638758601,1,0.995740982576383,0.720053416797453,0.771289921324467,0.986039672303636,0.969805346992355,0.717005797385364,0.807123623622981
"adult_biomass_kgha_200m",0.573560319730046,0.50427027339415,0.431461525019994,0.333267680845946,0.995877471404054,0.997695426738756,0.888271914004249,0.720396825539648,0.968031656207061,0.819432768358347,0.901747350728219,0.822919724368755,0.995740982576383,1,0.76345012441015,0.786185046960716,0.979518707611736,0.966233371335587,0.750514853251833,0.814386237154362
"adult_biomass_kgha_side",0.79931016438779,0.74840975921766,0.697474264789414,0.473569934302399,0.707406898613082,0.757517345172448,0.838888172131213,0.877133790359578,0.792601733846829,0.797002210726665,0.943281755157545,0.875869753747997,0.720053416797453,0.76345012441015,1,0.89033301088156,0.775706213846122,0.815649778906188,0.988722937690274,0.882819303882714
"adult_biomass_kgha_motu",0.663765184714351,0.574505671200299,0.565950440900578,0.427331953008587,0.753093984639796,0.8089828012415,0.77668872273364,0.982967019122205,0.869603194333228,0.907938698176433,0.950729024996994,0.985774450592217,0.771289921324467,0.786185046960716,0.89033301088156,1,0.834268676722867,0.879110201228331,0.897450047984564,0.992981658204954
"adult_density_ha_100m",0.516697911271099,0.465078921012978,0.413383852962294,0.318846406381122,0.968185182398484,0.986965154767437,0.810274354066295,0.747880244433316,0.997160857172254,0.912337076036194,0.930122302753727,0.888409777474262,0.986039672303636,0.979518707611736,0.775706213846122,0.834268676722867,1,0.995432392156927,0.791226420005107,0.874862110454104
"adult_density_ha_200m",0.536362009402953,0.478656021071554,0.431611068343073,0.317403141537107,0.949071608545336,0.976302503279241,0.812779102037658,0.798665677233685,0.99863845417698,0.939352405541057,0.955223997279992,0.926479041929159,0.969805346992355,0.966233371335587,0.815649778906188,0.879110201228331,0.995432392156927,1,0.833060822551001,0.915072349520875
"adult_density_ha_side",0.738990628430358,0.707953471060802,0.670100095669829,0.483240283718126,0.690778690227138,0.750134141378637,0.770183395579031,0.86303249616035,0.811024842753038,0.853902336255087,0.949430966120087,0.902179415533371,0.717005797385364,0.750514853251833,0.988722937690274,0.897450047984564,0.791226420005107,0.833060822551001,1,0.90346291975133
"adult_density_ha_motu",0.614942277246468,0.539794307070787,0.530782242213195,0.407948004470278,0.78097740625091,0.837980601523729,0.75301325842797,0.954332603091091,0.906749105295182,0.951034877285027,0.963424517834117,0.998733752002817,0.807123623622981,0.814386237154362,0.882819303882714,0.992981658204954,0.874862110454104,0.915072349520875,0.90346291975133,1
