"","N.15_at_10m","N.15_at_20m","N.15_at_30m","N.15_at_40m","breeding_biomass_kgha_100m","breeding_biomass_kgha_200m","breeding_biomass_kgha_side","breeding_biomass_kgha_motu","breeding_density_ha_100m","breeding_density_ha_200m","breeding_density_ha_side","breeding_density_ha_motu","adult_biomass_kgha_100m","adult_biomass_kgha_200m","adult_biomass_kgha_side","adult_biomass_kgha_motu","adult_density_ha_100m","adult_density_ha_200m","adult_density_ha_side","adult_density_ha_motu"
"N.15_at_10m",1,0.974543620142727,0.948069962560476,0.817692995524093,0.54173299096583,0.556523035176758,0.466536800605337,0.72108806374921,0.530200517710832,0.435847622196122,0.0248085582881921,0.591559906975481,0.51356899864142,0.573560319730046,0.609494482670835,0.663765184714351,0.516697911271099,0.536362009402953,0.0251656783422014,0.614942277246468
"N.15_at_20m",0.974543620142727,1,0.987086335644292,0.893682460418271,0.467686893194809,0.484873611425042,0.598622520400751,0.612393889571146,0.475279665099573,0.40317777640544,0.221299583052533,0.522734081786689,0.449822827362254,0.50427027339415,0.759731397669971,0.574505671200299,0.465078921012978,0.478656021071554,0.228408572104057,0.539794307070787
"N.15_at_30m",0.948069962560476,0.987086335644292,1,0.941545977492025,0.395782994571751,0.420145885535911,0.609085856398845,0.604787577735317,0.432080689933007,0.397097892700439,0.286796082216583,0.513566008847555,0.383873007298011,0.431461525019994,0.782608050044193,0.565950440900578,0.413383852962294,0.431611068343073,0.294659389054375,0.530782242213195
"N.15_at_40m",0.817692995524093,0.893682460418271,0.941545977492025,1,0.323790977398673,0.327000933866885,0.842289820893407,0.441343713345445,0.335609296761525,0.310133196279698,0.56406048985106,0.396990072712568,0.307036682650593,0.333267680845946,0.850073305274081,0.427331953008587,0.318846406381122,0.317403141537107,0.556060890830664,0.407948004470278
"breeding_biomass_kgha_100m",0.54173299096583,0.467686893194809,0.395782994571751,0.323790977398673,1,0.994561808657812,0.329865776317002,0.688724089646301,0.954593208919315,0.787029418915365,-0.119438751129118,0.789517766477525,0.995529130685409,0.995877471404054,0.349794472231158,0.753093984639796,0.968185182398484,0.949071608545336,-0.17025393228971,0.78097740625091
"breeding_biomass_kgha_200m",0.556523035176758,0.484873611425042,0.420145885535911,0.327000933866885,0.994561808657812,1,0.293975227152689,0.741319747919372,0.97931951843793,0.844962091138162,-0.141577580681995,0.846752628702865,0.99741291241523,0.997695426738756,0.36617775290051,0.8089828012415,0.986965154767437,0.976302503279241,-0.188683513721478,0.837980601523729
"breeding_biomass_kgha_side",0.466536800605337,0.598622520400751,0.609085856398845,0.842289820893407,0.329865776317002,0.293975227152689,1,-0.0388244661908319,0.250830470397055,0.0908308648703224,0.842597570620314,0.0443789755869308,0.318166480995705,0.314345259659831,0.857138489880577,0.00470783134587461,0.278266769508971,0.220383750258694,0.822555319554926,0.0326373351071053
"breeding_biomass_kgha_motu",0.72108806374921,0.612393889571146,0.604787577735317,0.441343713345445,0.688724089646301,0.741319747919372,-0.0388244661908319,1,0.787584791356921,0.815602879226833,-0.411653563650814,0.938094864991747,0.694057392031641,0.720396825539648,0.226507739281648,0.982967019122205,0.747880244433316,0.798665677233685,-0.429730797381855,0.954332603091091
"breeding_density_ha_100m",0.530200517710832,0.475279665099573,0.432080689933007,0.335609296761525,0.954593208919315,0.97931951843793,0.250830470397055,0.787584791356921,1,0.934691087196786,-0.123814076661445,0.918694723598934,0.974592375573365,0.968031656207061,0.407286263724004,0.869603194333228,0.997160857172254,0.99863845417698,-0.165352461990689,0.906749105295182
"breeding_density_ha_200m",0.435847622196122,0.40317777640544,0.397097892700439,0.310133196279698,0.787029418915365,0.844962091138162,0.0908308648703224,0.815602879226833,0.934691087196786,1,-0.150233899059714,0.965323280028221,0.833562255655621,0.819432768358347,0.391393233741304,0.907938698176433,0.912337076036194,0.939352405541057,-0.176165641293911,0.951034877285027
