"","NMDS1","NMDS2","N15"
"Arainvillea",-0.00257419649319722,-0.0562589173643188,-0.0231191739696509
"Boodlea",0.0375462265659033,0.010147251719724,-0.0890577269076423
"Caldora",-0.0748856416985196,-0.0522415225035885,-0.0304764561947121
"Caulerpa",-0.296098880128053,-0.12860145608206,-0.215437970468339
"Chlorodesmis",-0.165462565468241,-0.0250098953844844,0.0472972661096501
"Cladophora",-0.0179305261253663,0.162505367082826,-0.0842848625822707
"Dictyosphaeria",0.0538077733410107,-0.198927689243885,0.0450856631555655
"Dictyota",-0.0595103359825258,-0.214937984764541,-0.035697059787961
"Galaxaura",-0.249018097991642,-9.59493031893021e-05,0.00521298482493919
"Gelidiella",-0.00605511037468332,0.0597959154012985,-0.278612844056732
"Halimeda",-0.621795932390888,0.232664173836265,-0.643880903507894
"Hydroclathrus",-0.0751367649781097,-0.186065626004216,0.0279846264729275
"Hydrocoleum",-0.327682801103079,0.00919158157811243,-0.688340288191655
"Hypena",-0.166577056009108,0.136367100549012,-0.392871487316001
"Jania",-0.330373706122033,0.0723054305890986,-0.0114709348372537
"Lobophora",-0.354565177956101,-0.0861215172615099,-0.233676308767842
"Lyngbya",0.0386442772838627,-0.233847532019057,0.0569169621542343
"Neomeris",-0.325368618716406,-0.0791671592304776,0.00474923933749984
"Oscillatoria",-0.309753964819555,-0.0691263754829292,-0.00355679418152277
"Pseudanabaena",NA,NA,NA
"Pterocladiella",0.094882600077323,-0.0865737932576302,0.248353465058907
"Schizothrix",-0.485137507836349,0.236531188374112,-0.0719210028824007
"Symploca",-0.05849316036104,0.0027636977372826,-0.198672643883793
"Turbinaria",-0.356342079144402,-0.833012586157934,-0.228363664715722
