"","site.name","Date_collected","Month","Year","Motu.x","Purpose","Side","Site","Transect","Distance_to_shore","Collected_by","GPS_name","Longitude","Latitude","vial","N15","C13","N_percent","C_percent","Notes","Motu.y","Exposure","breeding_biomass_kgha_100m","breeding_biomass_kgha_200m","breeding_biomass_kgha_side","breeding_biomass_kgha_motu","breeding_density_ha_100m","breeding_density_ha_200m","breeding_density_ha_side","breeding_density_ha_motu","adult_biomass_kgha_100m","adult_biomass_kgha_200m","adult_biomass_kgha_side","adult_biomass_kgha_motu","adult_density_ha_100m","adult_density_ha_200m","adult_density_ha_side","adult_density_ha_motu"
"1","Aie_Exposed","9-Nov-21","Nov",2021,"Aie","Transect","windward","Exposed","a","10","Hannah Epstein (OSU)",249,-149.5361,-17.00774,"A2 Ta10 09/11/21",8.45,-9.34,0.44,26.28,NA,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"2","Aie_Exposed","9-Nov-21","Nov",2021,"Aie","Transect","windward","Exposed","a","20","Hannah Epstein (OSU)",251,-149.53613,-17.00763,"A2 Ta20 09/11/21",7.38,-8.79,0.41,27.02,NA,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"3","Aie_Exposed","9-Nov-21","Nov",2021,"Aie","Transect","windward","Exposed","a","30","Hannah Epstein (OSU)",254,-149.53615,-17.00749,"A2 Ta30 09/11/21",5.61,-9,0.34,28.38,NA,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"4","Aie_Exposed","9-Nov-21","Nov",2021,"Aie","Transect","windward","Exposed","b","10","Hannah Epstein (OSU)",259,-149.53595,-17.00767,"A2 Tb10 09/11/21",6.83,-9.11,0.48,27.4,NA,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"5","Aie_Exposed","9-Nov-21","Nov",2021,"Aie","Transect","windward","Exposed","b","20","Hannah Epstein (OSU)",260,-149.53596,-17.00759,"A2 Tb20 09/11/21",6.29,-8.71,0.34,28.65,NA,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"6","Aie_Exposed","9-Nov-21","Nov",2021,"Aie","Transect","windward","Exposed","b","30","Hannah Epstein (OSU)",261,-149.536,-17.0075,"A2 Tb30 09/11/21",6.04,-8.79,0.37,29.48,NA,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"7","Aie_Exposed","9-Nov-21","Nov",2021,"Aie","Transect","windward","Exposed","c","10","Hannah Epstein (OSU)",267,-149.53572,-17.00764,"A2 Tc10 09/11/21",7.3,-8.27,0.59,26.4,NA,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"8","Aie_Exposed","9-Nov-21","Nov",2021,"Aie","Transect","windward","Exposed","c","20","Hannah Epstein (OSU)",269,-149.53571,-17.00757,"A2 Tc20 09/11/21",6.09,-10.58,0.52,27.27,NA,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"9","Aie_Exposed","9-Nov-21","Nov",2021,"Aie","Transect","windward","Exposed","c","30","Hannah Epstein (OSU)",270,-149.53572,-17.00749,"A2 Tc30 09/11/21",7.03,-9.59,0.46,28.87,NA,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"10","Aie_Protected","8-Nov-21","Nov",2021,"Aie","Transect","leeward","Protected","a","10","Hannah Epstein (OSU)",232,-149.53554,-17.00918,"AIEI TA 10 08/11/21",9.34,-8.01,0.49,27.06,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"11","Aie_Protected","8-Nov-21","Nov",2021,"Aie","Transect","leeward","Protected","a","20","Hannah Epstein (OSU)",231,-149.53558,-17.00924,"AIEI TA 20 08/11/21",8.04,-7.82,0.34,29.19,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"12","Aie_Protected","8-Nov-21","Nov",2021,"Aie","Transect","leeward","Protected","a","30","Hannah Epstein (OSU)",230,-149.53563,-17.00931,"AIEI TA 30 08/11/21",6.31,-8.46,0.48,26.08,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"13","Aie_Protected","8-Nov-21","Nov",2021,"Aie","Transect","leeward","Protected","a","40","Hannah Epstein (OSU)",229,-149.53574,-17.00941,"AIEI TA 40 08/11/21",5.67,-9.13,0.32,28.24,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"14","Aie_Protected","8-Nov-21","Nov",2021,"Aie","Transect","leeward","Protected","b","10","Hannah Epstein (OSU)",237,-149.53566,-17.00905,"AIEI Tb 10 08/11/21",8.9,-8.18,0.37,26.74,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"15","Aie_Protected","8-Nov-21","Nov",2021,"Aie","Transect","leeward","Protected","b","20","Hannah Epstein (OSU)",238,-149.53574,-17.00915,"AIEI Tb 20 08/11/21",6.6,-8.52,0.36,27.15,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"16","Aie_Protected","8-Nov-21","Nov",2021,"Aie","Transect","leeward","Protected","b","30","Hannah Epstein (OSU)",241,-149.53583,-17.00924,"AIEI Tb 30 08/11/21",5.81,-9.54,0.34,27.58,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"17","Aie_Protected","8-Nov-21","Nov",2021,"Aie","Transect","leeward","Protected","b","40","Hannah Epstein (OSU)",240,-149.53592,-17.00928,"AIEI Tb 40 08/11/21",5.28,-8.89,0.3,29.56,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"18","Aie_Protected","8-Nov-21","Nov",2021,"Aie","Transect","leeward","Protected","c","20","Hannah Epstein (OSU)",245,-149.53598,-17.00895,"AIEI Tc 20 08/11/21",7.86,-7.92,0.31,27.05,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"19","Aie_Protected","8-Nov-21","Nov",2021,"Aie","Transect","leeward","Protected","c","30","Hannah Epstein (OSU)",246,-149.53604,-17.00899,"AIEI Tc 30 08/11/21",7.38,-7.45,0.4,27.77,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"20","Aie_Protected","8-Nov-21","Nov",2021,"Aie","Transect","leeward","Protected","c","40","Hannah Epstein (OSU)",247,-149.53612,-17.00907,"AIEI Tc 40 08/11/21",7.06,-8.82,0.49,27.92,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"21","Reiono_Exposed","5-Nov-21","Nov",2021,"Reiono","Transect","windward","Exposed","a","10","Hannah Epstein (OSU)",274,-149.54433,-17.04488,"RE2 TA10 05/11/21",5.76,-8.91,0.29,26.4,NA,"Reiono","Exposed",78,51.09,115.353333333333,166.203157894737,80,70,122.222222222222,177.894736842105,78,112.08,75.5422222222222,233.829473684211,80,100,97.7777777777778,270.526315789474
"22","Reiono_Exposed","5-Nov-21","Nov",2021,"Reiono","Transect","windward","Exposed","a","20","Hannah Epstein (OSU)",275,-149.54424,-17.04486,"RE2 TA20 05/11/21",6.21,-8.84,0.43,26.73,NA,"Reiono","Exposed",78,51.09,115.353333333333,166.203157894737,80,70,122.222222222222,177.894736842105,78,112.08,75.5422222222222,233.829473684211,80,100,97.7777777777778,270.526315789474
"23","Reiono_Exposed","5-Nov-21","Nov",2021,"Reiono","Transect","windward","Exposed","a","30","Hannah Epstein (OSU)",276,-149.54414,-17.04482,"RE2 TA30 05/11/21",5.65,-9.36,0.34,27.26,NA,"Reiono","Exposed",78,51.09,115.353333333333,166.203157894737,80,70,122.222222222222,177.894736842105,78,112.08,75.5422222222222,233.829473684211,80,100,97.7777777777778,270.526315789474
"24","Reiono_Exposed","5-Nov-21","Nov",2021,"Reiono","Transect","windward","Exposed","a","40","Hannah Epstein (OSU)",277,-149.54407,-17.04478,"RE2 TA40 05/11/21",5.97,-9.34,0.44,25.49,NA,"Reiono","Exposed",78,51.09,115.353333333333,166.203157894737,80,70,122.222222222222,177.894736842105,78,112.08,75.5422222222222,233.829473684211,80,100,97.7777777777778,270.526315789474
"25","Reiono_Exposed","5-Nov-21","Nov",2021,"Reiono","Transect","windward","Exposed","b","10","Hannah Epstein (OSU)",280,-149.54422,-17.04511,"RE2 TB10 05/11/21",7.62,-7.19,0.47,28.16,NA,"Reiono","Exposed",78,51.09,115.353333333333,166.203157894737,80,70,122.222222222222,177.894736842105,78,112.08,75.5422222222222,233.829473684211,80,100,97.7777777777778,270.526315789474
"26","Reiono_Exposed","5-Nov-21","Nov",2021,"Reiono","Transect","windward","Exposed","b","20","Hannah Epstein (OSU)",281,-149.54414,-17.04508,"RE2 TB20 05/11/21",5.65,-9.69,0.34,27.68,NA,"Reiono","Exposed",78,51.09,115.353333333333,166.203157894737,80,70,122.222222222222,177.894736842105,78,112.08,75.5422222222222,233.829473684211,80,100,97.7777777777778,270.526315789474
"27","Reiono_Exposed","5-Nov-21","Nov",2021,"Reiono","Transect","windward","Exposed","b","30","Hannah Epstein (OSU)",282,-149.54405,-17.04507,"RE2 TB30 05/11/21",5.38,-10.19,0.33,28.94,NA,"Reiono","Exposed",78,51.09,115.353333333333,166.203157894737,80,70,122.222222222222,177.894736842105,78,112.08,75.5422222222222,233.829473684211,80,100,97.7777777777778,270.526315789474
"28","Reiono_Exposed","5-Nov-21","Nov",2021,"Reiono","Transect","windward","Exposed","b","40","Hannah Epstein (OSU)",283,-149.54398,-17.04504,"RE2 TB40 05/11/21",5.09,-8.94,0.38,26.95,NA,"Reiono","Exposed",78,51.09,115.353333333333,166.203157894737,80,70,122.222222222222,177.894736842105,78,112.08,75.5422222222222,233.829473684211,80,100,97.7777777777778,270.526315789474
"29","Reiono_Exposed","5-Nov-21","Nov",2021,"Reiono","Transect","windward","Exposed","c","10","Hannah Epstein (OSU)",286,-149.54399,-17.04559,"RE2 TC10 05/11/21",7.23,-8.11,0.42,27.8,NA,"Reiono","Exposed",78,51.09,115.353333333333,166.203157894737,80,70,122.222222222222,177.894736842105,78,112.08,75.5422222222222,233.829473684211,80,100,97.7777777777778,270.526315789474
"30","Reiono_Exposed","5-Nov-21","Nov",2021,"Reiono","Transect","windward","Exposed","c","20","Hannah Epstein (OSU)",287,-149.54388,-17.04558,"RE2 TC20 05/11/21",4.69,-9.48,0.28,29.14,NA,"Reiono","Exposed",78,51.09,115.353333333333,166.203157894737,80,70,122.222222222222,177.894736842105,78,112.08,75.5422222222222,233.829473684211,80,100,97.7777777777778,270.526315789474
"31","Reiono_Exposed","5-Nov-21","Nov",2021,"Reiono","Transect","windward","Exposed","c","30","Hannah Epstein (OSU)",288,-149.54381,-17.04556,"RE2 TC30 05/11/21",5.07,-9.35,0.43,26.29,NA,"Reiono","Exposed",78,51.09,115.353333333333,166.203157894737,80,70,122.222222222222,177.894736842105,78,112.08,75.5422222222222,233.829473684211,80,100,97.7777777777778,270.526315789474
