"","coral.mean.richness","coral.mean.shannon","coral.mean.faithPD","coral.mean.evenness","coral.mean.aestuariicella","coral.mean.Ca.amoebophilus","coral.mean.glaciecola","coral.mean.neptuniibacter","coral.mean.porticoccus","coral.mean.woesearchaeales","coral.mean.alteromonadaceae","coral.mean.endozoicomonas","coral.mean.litoricola","coral.mean.betadisp","water.mean.richness","water.mean.shannon","water.mean.faithPD","water.mean.evenness","water.mean.rhodospirillales_aegean169","water.mean.SAR11.cladeIa","water.mean.SAR11.CladeIb","water.mean.SAR11.CladeII","water.mean.SAR116","water.mean.SAR86","water.mean.alteromonadaceae","water.mean.litoricola","water.mean.Synechococcus","water.mean.Prochlorococcus","water.mean.betadisp","N.15_at_10m","N.15_at_20m","N.15_at_30m","N.15_at_40m","breeding_biomass_kgha_100m","breeding_biomass_kgha_200m","breeding_biomass_kgha_side","breeding_biomass_kgha_motu","breeding_density_ha_100m","breeding_density_ha_200m","breeding_density_ha_side","breeding_density_ha_motu","adult_biomass_kgha_100m","adult_biomass_kgha_200m","adult_biomass_kgha_side","adult_biomass_kgha_motu","adult_density_ha_100m","adult_density_ha_200m","adult_density_ha_side","adult_density_ha_motu"
"coral.mean.richness",1,0.969695100294789,0.997312788163749,0.666536501431056,-0.219806916932087,0.554934230286248,0.831944997780024,0.831944997780024,0.0698194804562795,-0.102766536838975,0.903432352184687,-0.957709866746995,0.862723917623437,0.60665838309716,-0.606782650169028,-0.71909850972269,-0.577475520839122,-0.793358092221284,-0.828685906948541,-0.1306500157528,-0.774147518554113,-0.802977706213903,-0.138903840158317,-0.807831481473828,0.936649335720978,0.782139398705644,0.363074007849087,-0.815018619738881,0.510239039442962,0.504671701833486,0.503078773978031,0.558465461371181,0.728329783505008,0.497607201980587,0.578713423310737,0.436396335539937,0.826238214522119,0.717309949078952,0.88713445115707,0.803265513391884,0.897379753318342,0.549391217100367,0.541341155116541,0.735410187525424,0.877049705469725,0.668406898441432,0.720741978709451,0.803739383187425,0.89397928485299
"coral.mean.shannon",0.969695100294789,1,0.961553272760148,0.812670161060036,-0.352020563307521,0.600816768088217,0.931936259581631,0.931936259581631,0.103261465543855,-0.27314184666842,0.974293314088774,-0.97129336840986,0.827602568951418,0.52176129705416,-0.525413461097661,-0.659395660827063,-0.487188183795985,-0.760459058991043,-0.792677211177318,-0.281038195663965,-0.711890093564719,-0.732042266454484,-0.314144200506501,-0.753718337445489,0.95874632548388,0.720112774337201,0.231078316328753,-0.743313375831433,0.652829401963005,0.365429559934695,0.392056140518787,0.451281666695464,0.751069581295403,0.357385264346524,0.449537017247911,0.274212225830331,0.707712383372589,0.615175933821488,0.843455867065585,0.712276157655054,0.816356290247228,0.425027845402684,0.413130262458262,0.675282349299107,0.776547723431075,0.566928521738381,0.624861802146749,0.765957752323862,0.806883086766752
"coral.mean.faithPD",0.997312788163749,0.961553272760148,1,0.630753845303055,-0.152322349254122,0.560732839312718,0.830744253579641,0.830744253579641,0.0613860132686313,-0.102415483832199,0.894340203150809,-0.956126301583776,0.830927161794411,0.611972215002581,-0.578364884869408,-0.687049864863864,-0.546609859861864,-0.762533214555883,-0.790976925558408,-0.162235866159289,-0.734732149449673,-0.769287919410863,-0.148939495612639,-0.768338817060779,0.916101222597613,0.74659173935934,0.32193479041582,-0.7792060680275,0.527127308814409,0.496963756609376,0.49251054335329,0.5565345799033,0.742719413619343,0.461512771248562,0.542780506160764,0.408864847963134,0.822783819489,0.683052328190229,0.859123216144489,0.772297683232905,0.878354317131502,0.511458559329791,0.502610852760257,0.702632936412078,0.865278978328786,0.630648905352064,0.684881973444021,0.769641214084107,0.87706841684209
"coral.mean.evenness",0.666536501431056,0.812670161060036,0.630753845303055,1,-0.71638691798309,0.40898047162054,0.843162642464877,0.843162642464877,0.0709454576349804,-0.545529263578527,0.863133465673016,-0.723401637254647,0.678211865067421,0.254261274797625,-0.413538738551434,-0.536829697678715,-0.374444963806475,-0.639910280887525,-0.650796467581741,-0.315104049320562,-0.568408603194576,-0.548807984393317,-0.452848458994803,-0.606524441834161,0.820335109161108,0.574838609903298,0.117907513708851,-0.563046040818093,0.64897884447561,0.0269568507293066,0.128474485090722,0.154808556262997,-0.0121477389390541,0.166806334393543,0.248445794974968,-0.0149645267943643,0.271616200643569,0.412533463396254,0.649973922484295,0.459100728883152,0.506254377763076,0.254236149649049,0.23252662606517,0.461512839610621,0.400405909061675,0.394880077338392,0.43024716933374,0.582343288360057,0.47608628591014
"coral.mean.aestuariicella",-0.219806916932087,-0.352020563307521,-0.152322349254122,-0.71638691798309,1,-0.233476031764655,-0.344254337430345,-0.344254337430345,-0.281678999753733,0.169383030234558,-0.399144203833406,0.277344166819135,-0.484617084979749,0.0501636189576683,0.269599855473135,0.392312265396695,0.284866813783868,0.443566330420808,0.569217153232867,-0.0879441868264284,0.525463023325974,0.452669438532765,0.202929226891518,0.556179634969255,-0.460455128800744,-0.46531901221807,-0.343413153718267,0.486581048036334,-0.129840792080916,-0.0769159885449185,-0.122689217022877,-0.0338120633482,0.213330047195468,-0.320056412586954,-0.355503302881182,-0.249609803062401,-0.136746247284966,-0.399231563633415,-0.449171832915571,-0.438205770774291,-0.335106024664623,-0.367754693481907,-0.382378015894832,-0.523643035034859,-0.244154638169949,-0.424435917922781,-0.433031886299449,-0.56883829196683,-0.308884909569367
"coral.mean.Ca.amoebophilus",0.554934230286248,0.600816768088217,0.560732839312718,0.40898047162054,-0.233476031764655,1,0.637802946698182,0.637802946698182,0.809960624796691,0.206048723437222,0.554145743687724,-0.744639728562437,0.218582691037754,0.462110865422563,0.267568456240854,0.0750904227564084,0.277410988435748,-0.0573312238260011,-0.305237163199792,-0.627938144154128,-0.177077523011453,-0.161084936727263,-0.722089065193291,-0.299795300916468,0.417231811149971,0.0916791636196827,-0.258485404756493,-0.282467194178045,0.714863901837713,0.535031532107871,0.525289193533467,0.552976446707603,0.335199036061257,-0.112218692233929,-0.0315749763866238,0.21135666992274,0.551001291363242,0.0708220321130768,0.277904227595168,0.380307865957792,0.408873266004938,-0.0916224130011305,-0.0354616383717192,0.60928314982999,0.484303614142529,0.020867953968045,0.1051315251704,0.611156252992975,0.432674413493208
"coral.mean.glaciecola",0.831944997780024,0.931936259581631,0.830744253579641,0.843162642464877,-0.344254337430345,0.637802946698182,1,1,0.116021833259324,-0.50100093664712,0.976686873603607,-0.892782403360144,0.631199114236751,0.293237097603641,-0.285952004018308,-0.442777637022862,-0.234397342789198,-0.582315639877239,-0.590853143934625,-0.541709122242751,-0.466735370337416,-0.490511827999944,-0.546801226151485,-0.509966856015166,0.863437546370749,0.482577501857587,-0.0755095251948662,-0.476750463999617,0.821565198735115,0.0854822489312169,0.121274067918302,0.197059905922918,0.298762652395269,0.0430390501506357,0.144960728399313,-0.0375850544319307,0.498604423758123,0.337647514892162,0.648948409379276,0.450875964292067,0.602156132090092,0.121715690828952,0.104128140033612,0.456193127794918,0.561431365371906,0.283795575046182,0.354083164921474,0.56348053501345,0.591767855257917
"coral.mean.neptuniibacter",0.831944997780024,0.931936259581631,0.830744253579641,0.843162642464877,-0.344254337430345,0.637802946698182,1,1,0.116021833259324,-0.50100093664712,0.976686873603607,-0.892782403360144,0.631199114236751,0.293237097603641,-0.285952004018308,-0.442777637022862,-0.234397342789198,-0.582315639877239,-0.590853143934625,-0.541709122242751,-0.466735370337416,-0.490511827999944,-0.546801226151485,-0.509966856015166,0.863437546370749,0.482577501857587,-0.0755095251948662,-0.476750463999617,0.821565198735115,0.0854822489312169,0.121274067918302,0.197059905922918,0.298762652395269,0.0430390501506357,0.144960728399313,-0.0375850544319307,0.498604423758123,0.337647514892162,0.648948409379276,0.450875964292067,0.602156132090092,0.121715690828952,0.104128140033612,0.456193127794918,0.561431365371906,0.283795575046182,0.354083164921474,0.56348053501345,0.591767855257917
"coral.mean.porticoccus",0.0698194804562795,0.103261465543855,0.0613860132686313,0.0709454576349804,-0.281678999753733,0.809960624796691,0.116021833259324,0.116021833259324,1,0.549707148599166,0.0278573341598766,-0.29593065595123,-0.147839884372083,0.354914992511477,0.539831418919345,0.3974740091892,0.513983233421591,0.323785365163053,-0.00380787464025026,-0.415860426411277,0.0729466278626946,0.13323651423478,-0.605495673642937,-0.0615051945441087,-0.0634391293220872,-0.203430803236696,-0.258881395874837,-0.0497978700558832,0.352603757799093,0.577582688054396,0.57570518694614,0.538146492893011,0.284571753137108,-0.179741355591309,-0.148340160139137,0.261499216381625,0.246043424176212,-0.150316758508584,-0.10322834591532,0.160728854837704,0.0510667688729768,-0.198433474338119,-0.113451014534051,0.475512277050591,0.146483012186891,-0.163350103850138,-0.112606608468121,0.415399608477963,0.0797796460855137
"coral.mean.woesearchaeales",-0.102766536838975,-0.27314184666842,-0.102415483832199,-0.545529263578527,0.169383030234558,0.206048723437222,-0.50100093664712,-0.50100093664712,0.549707148599166,1,-0.4544720630771,0.0965955264929164,-0.124045476646719,0.406629453298555,0.153339164044499,0.163983423232876,0.0918785431058721,0.236620937009833,0.000859193934004185,0.368187431379373,-0.0653922584140031,-0.0318421236004126,0.273659683646584,-0.1206595362906,-0.321049461805108,-0.0328639977389391,0.302633058023588,-0.168631778685062,-0.438484256645691,0.780050834620959,0.699526678573963,0.627448121774662,0.664268267892204,0.334166052031927,0.292895219175304,0.69538743822845,0.354510708828694,0.155448329052221,-0.0839603062476922,0.290425218265418,0.119595604614088,0.257207559812235,0.330847915167598,0.412383879341389,0.235474854696594,0.16762898714998,0.159838299223844,0.281066606117121,0.15463851392208
