"","coral_observed","coral_shannon","coral_evenness","Distance_to_centroid","NMDS1","NMDS2","coral_prop_cover","pavement_prop_cover","rubble_prop_cover","sand_prop_cover","other_invert_prop_cover","macroalgae_prop_cover","cyano_prop_cover","breeding_biomass_kgha_side"
"coral_observed",1,0.881587266199932,-0.304538385525133,0.0625003590083928,0.328662726630524,-0.178223127998325,0.383026872628,0.206565444610301,-0.244175249774212,-0.260180583352885,-0.296695414548463,0.162727464352575,0.393610946830482,-0.376002964407541
"coral_shannon",0.881587266199932,1,0.769018245142789,-0.133159276397117,0.309383633022331,0.0633432400150918,0.0365896261941929,0.29349076013065,-0.317557885478673,-0.0956439253970852,-0.342929374900712,0.0733783512917878,0.459200090257152,-0.257835954507938
"coral_evenness",-0.304538385525133,0.769018245142789,1,-0.574470212612561,-0.0564676695777875,0.763777674028485,-0.841804646081787,0.232743210023025,-0.313883369318243,0.473412359227847,-0.464233994416156,-0.0785593159257982,0.131186240720368,0.256936330909885
"Distance_to_centroid",0.0625003590083928,-0.133159276397117,-0.574470212612561,1,-0.0533052831534597,-0.490892560868302,0.646013593207527,-0.198583946873068,0.231203031466885,-0.294888091482839,0.218184561240297,-0.00210376674784776,-0.133278232581589,-0.504693459598233
"NMDS1",0.328662726630524,0.309383633022331,-0.0564676695777875,-0.0533052831534597,1,-2.67845200465467e-17,-0.0793174638869925,0.948953922147192,-0.589715759859863,-0.65302257466821,-0.28869777691791,0.678025343219283,0.490478842872134,-0.309292103614036
"NMDS2",-0.178223127998325,0.0633432400150918,0.763777674028485,-0.490892560868302,-2.67845200465467e-17,1,-0.729452381699155,0.170269435472633,-0.708386949365089,0.742934128092133,-0.404762035182993,-0.0826886807246382,-0.0594381416787884,0.422023791573662
"coral_prop_cover",0.383026872628,0.0365896261941929,-0.841804646081787,0.646013593207527,-0.0793174638869925,-0.729452381699155,1,-0.31215360085912,0.321795693188791,-0.413453286056748,0.187641964878772,-0.0512554080432146,-0.0609281950628744,-0.374218336721228
"pavement_prop_cover",0.206565444610301,0.29349076013065,0.232743210023025,-0.198583946873068,0.948953922147192,0.170269435472633,-0.31215360085912,1,-0.628290415043691,-0.511040587255899,-0.257915324953732,0.500540046142756,0.497510232028817,-0.223635752566511
"rubble_prop_cover",-0.244175249774212,-0.317557885478673,-0.313883369318243,0.231203031466885,-0.589715759859863,-0.708386949365089,0.321795693188791,-0.628290415043691,1,-0.190919315472811,0.488174677740896,-0.303177531151799,-0.188251848220572,-0.0701466231397091
"sand_prop_cover",-0.260180583352885,-0.0956439253970852,0.473412359227847,-0.294888091482839,-0.65302257466821,0.742934128092133,-0.413453286056748,-0.511040587255899,-0.190919315472811,1,-0.165214197111034,-0.519386642786165,-0.364724781473275,0.49837653987524
"other_invert_prop_cover",-0.296695414548463,-0.342929374900712,-0.464233994416156,0.218184561240297,-0.28869777691791,-0.404762035182993,0.187641964878772,-0.257915324953732,0.488174677740896,-0.165214197111034,1,-0.27523404845409,-0.150755672288882,0.0570196732251707
"macroalgae_prop_cover",0.162727464352575,0.0733783512917878,-0.0785593159257982,-0.00210376674784776,0.678025343219283,-0.0826886807246382,-0.0512554080432146,0.500540046142756,-0.303177531151799,-0.519386642786165,-0.27523404845409,1,0.105618784756512,-0.162622261450929
"cyano_prop_cover",0.393610946830482,0.459200090257152,0.131186240720368,-0.133278232581589,0.490478842872134,-0.0594381416787884,-0.0609281950628744,0.497510232028817,-0.188251848220572,-0.364724781473275,-0.150755672288882,0.105618784756512,1,-0.313177270094568
"breeding_biomass_kgha_side",-0.376002964407541,-0.257835954507938,0.256936330909885,-0.504693459598233,-0.309292103614036,0.422023791573662,-0.374218336721228,-0.223635752566511,-0.0701466231397091,0.49837653987524,0.0570196732251707,-0.162622261450929,-0.313177270094568,1
