"","coral_observed","coral_shannon","coral_evenness","Distance_to_centroid","NMDS1","NMDS2","hard_coral_percent_cover","other_fish_inverts_percent_cover","sand_percent_cover","dead_coral_percent_cover","pavement_percent_cover","rubble_percent_cover","cca_percent_cover","macroalgae_percent_cover","transect_tape_percent_cover","total_percent_cover","breeding_biomass_kgha_side"
"coral_observed",1,0.71490382834654,-0.415278295047026,-0.245031160933598,-0.258507549695773,-0.258003808708528,0.324334768913748,0.056271746868959,0.0288972742333472,-0.0168490966657576,-0.362621995922564,0.161553826125538,0.0574656331669051,0.0598835473422015,-0.275070586890299,-0.034501173940286,-0.163512505946988
"coral_shannon",0.71490382834654,1,0.343714765131875,-0.251485945526653,-0.11963506861298,-0.135397523401005,0.211518799140135,0.0728230674536701,0.0368569192354079,-0.530335140303537,-0.176113263127954,0.0531654808719496,-0.15823634700041,-0.0368279715116433,-0.147793253401808,-0.295452678757824,-0.0684374865104439
"coral_evenness",-0.415278295047026,0.343714765131875,1,-0.104809308170579,0.254356095662713,0.0696657895063674,-0.283046655216255,-0.154826373185758,0.126935751553766,-0.61400479691838,0.199341018064027,-0.175612199339551,-0.327976138243985,-0.0470888322117114,0.13711402390217,-0.178518733417971,0.154011774768776
"Distance_to_centroid",-0.245031160933598,-0.251485945526653,-0.104809308170579,1,0.128422612784183,0.200075460152927,-0.0167792391867488,-0.153489579770883,-0.0805293845956751,0.010875309850344,0.215698123719796,-0.145558609169293,0.188744046638652,0.181686978276108,-0.20957288809644,0.00847161339491777,-0.36677557423102
"NMDS1",-0.258507549695773,-0.11963506861298,0.254356095662713,0.128422612784183,1,3.15463060938604e-17,-0.689173545575656,-0.0727643415702727,0.619723664220867,0.0809874252593676,0.642421275003913,-0.948982862616745,-0.322012680613129,-0.00477267925675079,0.00990761741237545,-0.137495968698241,0.277812824267664
"NMDS2",-0.258003808708528,-0.135397523401005,0.0696657895063674,0.200075460152927,3.15463060938604e-17,1,-0.168653059066345,0.00199752168004237,-0.777057068147246,0.310416135375692,0.751259297609265,0.0287347435548969,0.34620190243629,0.63759459285222,0.0230961430975397,-0.0024493251815687,-0.333441816067942
"hard_coral_percent_cover",0.324334768913748,0.211518799140135,-0.283046655216255,-0.0167792391867488,-0.689173545575656,-0.168653059066345,1,0.17435358400875,-0.353075240461258,-0.169791269216981,-0.532768455911231,0.439663534639079,0.0225574303828358,-0.168495172886827,-0.0757176383395685,0.0118759215663202,-0.206809788369896
"other_fish_inverts_percent_cover",0.056271746868959,0.0728230674536701,-0.154826373185758,-0.153489579770883,-0.0727643415702727,0.00199752168004237,0.17435358400875,1,-0.0724234217515587,-0.142799719120055,-0.00548950668801367,0.0337056731191526,-0.197374289700769,-0.272841380144123,0.0136807132689229,-0.0386744923333727,0.0202559526275176
"sand_percent_cover",0.0288972742333472,0.0368569192354079,0.126935751553766,-0.0805293845956751,0.619723664220867,-0.777057068147246,-0.353075240461258,-0.0724234217515587,1,-0.207420512935002,-0.194028663146601,-0.590849564721097,-0.465447997259091,-0.468947217338699,-0.0296363292658897,-0.102208403947054,0.451087935329179
"dead_coral_percent_cover",-0.0168490966657576,-0.530335140303537,-0.61400479691838,0.010875309850344,0.0809874252593676,0.310416135375692,-0.169791269216981,-0.142799719120055,-0.207420512935002,1,0.292700590024625,-0.0627574654789441,0.206036885519894,0.293730129773372,0.014214401374154,0.503033629292149,-0.125815841744044
"pavement_percent_cover",-0.362621995922564,-0.176113263127954,0.199341018064027,0.215698123719796,0.642421275003913,0.751259297609265,-0.532768455911231,-0.00548950668801367,-0.194028663146601,0.292700590024625,1,-0.59802044069732,-0.0129263913637285,0.37465342647617,0.030940519381943,-0.0352933612673106,-0.0966605548252921
"rubble_percent_cover",0.161553826125538,0.0531654808719496,-0.175612199339551,-0.145558609169293,-0.948982862616745,0.0287347435548969,0.439663534639079,0.0337056731191526,-0.590849564721097,-0.0627574654789441,-0.59802044069732,1,0.36135195781229,0.00258155025169138,0.018821303147663,0.183849308606196,-0.262255152527086
"cca_percent_cover",0.0574656331669051,-0.15823634700041,-0.327976138243985,0.188744046638652,-0.322012680613129,0.34620190243629,0.0225574303828358,-0.197374289700769,-0.465447997259091,0.206036885519894,-0.0129263913637285,0.36135195781229,1,0.500523758301234,0.281266834714721,-0.0307729366619252,-0.159900647121275
"macroalgae_percent_cover",0.0598835473422015,-0.0368279715116433,-0.0470888322117114,0.181686978276108,-0.00477267925675079,0.63759459285222,-0.168495172886827,-0.272841380144123,-0.468947217338699,0.293730129773372,0.37465342647617,0.00258155025169138,0.500523758301234,1,-0.184494356240889,-0.229249395605289,-0.156810131250367
"transect_tape_percent_cover",-0.275070586890299,-0.147793253401808,0.13711402390217,-0.20957288809644,0.00990761741237545,0.0230961430975397,-0.0757176383395685,0.0136807132689229,-0.0296363292658897,0.014214401374154,0.030940519381943,0.018821303147663,0.281266834714721,-0.184494356240889,1,0.00221107988517423,0.247923168727123
"total_percent_cover",-0.034501173940286,-0.295452678757824,-0.178518733417971,0.00847161339491777,-0.137495968698241,-0.0024493251815687,0.0118759215663202,-0.0386744923333727,-0.102208403947054,0.503033629292149,-0.0352933612673106,0.183849308606196,-0.0307729366619252,-0.229249395605289,0.00221107988517423,1,-0.192076693646963
"breeding_biomass_kgha_side",-0.163512505946988,-0.0684374865104439,0.154011774768776,-0.36677557423102,0.277812824267664,-0.333441816067942,-0.206809788369896,0.0202559526275176,0.451087935329179,-0.125815841744044,-0.0966605548252921,-0.262255152527086,-0.159900647121275,-0.156810131250367,0.247923168727123,-0.192076693646963,1
