Date,Time,Motu,Site,Transect,Species,Size,Abundance,Area_m2,Density_ha,Biomass_ind_g,Biomass_kg_ha,Stage,a_FishBase,b_FishBase,Trophic_level,Trophic_level_se,Notes.x,Notes.y
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus nigricauda,23,1,150,66.66666667,245.8892169,16.39261446,,0.02291,2.96,3,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,15,1,150,66.66666667,72.65414139,4.843609426,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,15,1,150,66.66666667,72.65414139,4.843609426,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,16,1,150,66.66666667,87.94788435,5.86319229,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,16,1,150,66.66666667,87.94788435,5.86319229,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,16,1,150,66.66666667,87.94788435,5.86319229,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,16,1,150,66.66666667,87.94788435,5.86319229,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,10,1,150,66.66666667,21.87914004,1.458609336,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,7,1,150,66.66666667,7.612379769,0.507491985,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,13,1,150,66.66666667,47.5666505,3.171110033,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,15,1,150,66.66666667,72.65414139,4.843609426,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,15,1,150,66.66666667,72.65414139,4.843609426,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,15,1,150,66.66666667,72.65414139,4.843609426,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,15,1,150,66.66666667,72.65414139,4.843609426,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,12,1,150,66.66666667,37.53243458,2.502162305,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Acanthurus triostegus,15,1,150,66.66666667,72.65414139,4.843609426,,0.02399,2.96,2.8,0.4,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Cephalopholis argus,27,1,150,66.66666667,278.9741406,18.59827604,,0.01202,3.05,4.5,0,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Chaetodon ulietensis,13,1,150,66.66666667,46.73102247,3.115401498,,0.02239,2.98,2.7,0.2,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Chlorurus spilurus,30,1,150,66.66666667,376.4463858,25.09642572,IP,0.01259,3.03,2.6,0.3,,"No trophic level info for C. spilurus, so took from C. sordidus (Indian Ocean equivalent) instead"
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Chlorurus spilurus,8,1,150,66.66666667,6.861015346,0.457401023,juvenile,0.01259,3.03,2.6,0.3,,"No trophic level info for C. spilurus, so took from C. sordidus (Indian Ocean equivalent) instead"
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,8,1,150,66.66666667,5.23776,0.349184,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,8,1,150,66.66666667,5.23776,0.349184,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,8,1,150,66.66666667,5.23776,0.349184,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,8,1,150,66.66666667,5.23776,0.349184,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,5,1,150,66.66666667,1.27875,0.08525,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,6,1,150,66.66666667,2.20968,0.147312,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,7,1,150,66.66666667,3.50889,0.233926,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,5,1,150,66.66666667,1.27875,0.08525,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,7,1,150,66.66666667,3.50889,0.233926,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,6,1,150,66.66666667,2.20968,0.147312,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,7,1,150,66.66666667,3.50889,0.233926,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,8,1,150,66.66666667,5.23776,0.349184,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,6,1,150,66.66666667,2.20968,0.147312,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,7,1,150,66.66666667,3.50889,0.233926,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,8,1,150,66.66666667,5.23776,0.349184,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,7,1,150,66.66666667,3.50889,0.233926,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Halichoeres trimaculatus,10,1,150,66.66666667,10.23,0.682,,0.01023,3,3.5,0.5,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scaridae sp,7,1,150,66.66666667,4.577968408,0.305197894,juvenile,0.01259,3.03,2.6,0.3,"striped, not sure of species","*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scaridae sp,7,1,150,66.66666667,4.577968408,0.305197894,juvenile,0.01259,3.03,2.6,0.3,"striped, not sure of species","*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scaridae sp,7,1,150,66.66666667,4.577968408,0.305197894,juvenile,0.01259,3.03,2.6,0.3,"striped, not sure of species","*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scaridae sp,7,1,150,66.66666667,4.577968408,0.305197894,juvenile,0.01259,3.03,2.6,0.3,"striped, not sure of species","*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scaridae sp,7,1,150,66.66666667,4.577968408,0.305197894,juvenile,0.01259,3.03,2.6,0.3,"striped, not sure of species","*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scaridae sp,8,1,150,66.66666667,6.861015346,0.457401023,juvenile,0.01259,3.03,2.6,0.3,"striped, not sure of species","*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scaridae sp,9,1,150,66.66666667,9.803486017,0.653565734,juvenile,0.01259,3.03,2.6,0.3,"striped, not sure of species","*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scaridae sp,8,1,150,66.66666667,6.861015346,0.457401023,juvenile,0.01259,3.03,2.6,0.3,"striped, not sure of species","*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scaridae sp,9,1,150,66.66666667,9.803486017,0.653565734,juvenile,0.01259,3.03,2.6,0.3,"striped, not sure of species","*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scaridae sp,8,1,150,66.66666667,6.861015346,0.457401023,juvenile,0.01259,3.03,2.6,0.3,"striped, not sure of species","*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scaridae sp,9,1,150,66.66666667,9.803486017,0.653565734,juvenile,0.01259,3.03,2.6,0.3,"striped, not sure of species","*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scaridae sp,8,1,150,66.66666667,6.861015346,0.457401023,juvenile,0.01259,3.03,2.6,0.3,"striped, not sure of species","*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scarus psittacus,23,1,150,66.66666667,213.6505619,14.24337079,IP,0.01549,3.04,2,0,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scarus psittacus,23,1,150,66.66666667,213.6505619,14.24337079,IP,0.01549,3.04,2,0,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scarus psittacus,10,1,150,66.66666667,16.98444726,1.132296484,juvenile,0.01549,3.04,2,0,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scarus psittacus,10,1,150,66.66666667,16.98444726,1.132296484,juvenile,0.01549,3.04,2,0,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scarus psittacus,10,1,150,66.66666667,16.98444726,1.132296484,juvenile,0.01549,3.04,2,0,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Scarus psittacus,10,1,150,66.66666667,16.98444726,1.132296484,juvenile,0.01549,3.04,2,0,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Stegastes nigricans,12,1,60,166.6666667,44.66315759,7.443859598,,0.02399,3.03,2.2,0,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Stegastes nigricans,6,1,60,166.6666667,5.468000387,0.911333398,,0.02399,3.03,2.2,0,,
6-Nov-21,14:59-16:35,Reiono,Protected (southwest),1,Stegastes nigricans,6,1,60,166.6666667,5.468000387,0.911333398,,0.02399,3.03,2.2,0,,
