"","motu","site.name","wind.exposure","rat.eradication.status","transect","Herb","InvMob","Omnivr","Plktiv","FisCep","InvSes","Distance_to_centroid","NMDS1","NMDS2"
"1","aie","A1","leeward","None","1",533.33333336,600.00000003,833.3333335,500.0000001,0,0,0.115027551965582,-0.261709268354517,0.0758623936676145
"2","aie","A1","leeward","None","2",600.00000003,800.00000004,2466.66666714,633.33333344,200.00000001,133.33333334,0.0932473113581558,-0.018553374391315,-0.14637658198041
"3","aie","A1","leeward","None","3",1533.33333346,1266.66666673,3800.00000074,5666.6666678,133.33333334,0,0.0720707458015021,-0.0356181396370264,0.113838066677073
"4","aie","A1","leeward","None","4",1433.33333348,800.00000004,3300.00000059,666.6666668,66.66666667,0,0.0135696158549384,-0.020598079748202,0.0610657368101135
"5","aie","A2","windward","None","1",1633.33333344,1066.66666672,1066.66666682,166.6666667,66.66666667,133.33333334,0.0911154525117222,0.00450543861785801,-0.126612918777998
"6","aie","A2","windward","None","2",1266.66666673,600.00000003,900.00000017,0,133.33333334,66.66666667,0.0951066342211133,0.237117180585883,-0.133566872204054
"7","aie","A2","windward","None","3",766.66666673,666.6666667,2466.66666714,0,133.33333334,0,0.0935919562323172,0.225020688935962,0.0923314042866396
"8","aie","A2","windward","None","4",533.33333336,1133.33333339,3333.333334,300.00000004,66.66666667,0,0.10366843554736,-0.0157080348122425,0.087177187759066
"9","reiono","Re1","leeward","eradicated_2018","1",2400.00000012,2600.00000013,566.66666677,0,66.66666667,0,0.0507376142755549,0.253318837064771,0.159134364745198
"10","reiono","Re1","leeward","eradicated_2018","2",2600.00000028,1200.00000006,1000.0000002,166.6666667,66.66666667,0,0.0955176751869336,0.00487101105579778,0.0727584663503697
"11","reiono","Re1","leeward","eradicated_2018","3",3500.0000004,466.66666669,3633.33333404,0,133.33333334,0,0.0526646030655041,0.216516971305218,0.123721606285971
"12","reiono","Re1","leeward","eradicated_2018","4",2066.66666687,466.66666669,2533.33333381,0,200.00000001,0,0.0520799838320936,0.220233535816882,0.10392917863425
"13","reiono","Re2","windward","eradicated_2018","1",533.33333336,400.00000002,1566.66666697,200.00000001,66.66666667,66.66666667,0.0958791944045839,-0.00854299459017101,-0.149124400511464
"14","reiono","Re2","windward","eradicated_2018","2",3600.00000018,400.00000002,1566.66666697,333.3333334,0,0,0.10157259453414,-0.231417379119286,0.0982134617100699
"15","reiono","Re2","windward","eradicated_2018","3",766.66666673,666.6666667,2533.33333371,1500.0000003,0,0,0.0917220661855796,-0.24521121320011,0.0753302275739817
"16","reiono","Re2","windward","eradicated_2018","4",1400.00000007,1066.66666672,1666.66666685,4166.6666675,66.66666667,133.33333334,0.100122639855066,-0.0366209973379113,-0.155218868275759
"17","rimatuu","Rm1","leeward","eradicated_2022","1",2866.66666681,400.00000002,2333.3333338,500.0000001,0,0,0.109957737971419,-0.225085225039129,0.0921157099604858
"18","rimatuu","Rm1","leeward","eradicated_2022","2",1966.66666679,866.66666671,3433.33333398,666.6666668,0,333.33333335,0.0500220272018563,-0.214536103555859,-0.153841633768162
"19","rimatuu","Rm1","leeward","eradicated_2022","3",2233.33333347,800.00000004,4033.33333411,233.33333337,66.66666667,133.33333334,0.0661427205664736,-0.00329317371294229,-0.130540956159855
"20","rimatuu","Rm1","leeward","eradicated_2022","4",3033.33333366,800.00000004,3833.33333405,666.6666668,133.33333334,66.66666667,0.0590252384156355,-0.0158869219987398,-0.11216296545066
"21","rimatuu","Rm2","windward","eradicated_2022","1",2233.33333352,933.33333338,800.00000014,333.3333334,66.66666667,0,0.0925624769781559,-0.00602342654829332,0.0882403438256891
"22","rimatuu","Rm2","windward","eradicated_2022","2",1200.00000006,1133.33333339,2833.3333339,0,266.66666668,133.33333334,0.140153921047677,0.222575385903042,-0.146876246304497
"23","rimatuu","Rm2","windward","eradicated_2022","3",2166.6666669,800.00000004,8400.00000167,633.33333344,133.33333334,66.66666667,0.0321203613994215,-0.0147050101190688,-0.109801966321546
"24","rimatuu","Rm2","windward","eradicated_2022","4",4266.66666693,1533.33333341,9966.66666864001,1000.0000002,200.00000001,0,0.0792547446892964,-0.0306497071206017,0.120405261467885
