"","motu","site.name","wind.exposure","rat.eradication.status","protection.x","transect","coral_observed","coral_shannon","coral_evenness","protection.y","Distance_to_centroid","NMDS1","NMDS2"
"1","aie","A2","windward","None","exposed","1",4,0.731515108414523,0.527676609622492,"exposed",0.147586604128554,-0.0689477916404395,-0.345863656896309
"2","aie","A2","windward","None","exposed","2",3,0.601946859847437,0.547915644177984,"exposed",0.159683613424264,0.183841507230229,-0.206902250961916
"3","aie","A2","windward","None","exposed","3",2,0.681624433624784,0.983376190139224,"exposed",0.0953774542900995,-0.234193298549595,-0.135808776363324
"4","aie","A2","windward","None","exposed","4",3,0.832571261676978,0.757839021340583,"exposed",0.181869675003383,-0.232320811525616,0.097121922875181
"5","aie","A1","leeward","None","protected","1",2,0.69141607761301,0.997502546363189,"protected",0.115069537915523,0.0086200038694523,-0.0876593510907715
"6","aie","A1","leeward","None","protected","2",2,0.63058102837834,0.909736122520094,"protected",0.137985062624272,0.119868117734194,-0.102235262533313
"7","aie","A1","leeward","None","protected","3",5,1.22387585111816,0.760436821863593,"protected",0.110328328528513,-0.248714415348691,-0.265956649000306
"8","aie","A1","leeward","None","protected","4",4,1.01656812741563,0.733298898074151,"protected",0.133577416717388,-0.289418317881697,-0.290625766273217
"9","reiono","Re1","leeward","eradicated_2018","protected","1",3,0.29230897250886,0.26607109307255,"protected",0.107727594729962,0.227989114556797,0.212494932442028
"10","reiono","Re1","leeward","eradicated_2018","protected","2",3,0.856277565318198,0.779417428833148,"protected",0.0820713104744795,0.149092224566526,0.208603514713132
"11","reiono","Re1","leeward","eradicated_2018","protected","3",2,0.6534181947965,0.94268318925953,"protected",0.0997505898439041,-0.0733157536356121,0.0743960940064653
"12","reiono","Re1","leeward","eradicated_2018","protected","4",3,0.832407574178216,0.757690026558301,"protected",0.147275405868808,-0.0902103654025803,0.316339213005372
"13","reiono","Re2","windward","eradicated_2018","exposed","1",3,1.07698652204629,0.980315378914944,"exposed",0.0823936171716632,-0.0271336517381872,-0.00397751601263577
"14","reiono","Re2","windward","eradicated_2018","exposed","2",3,0.842780302072571,0.767131690374869,"exposed",0.0924235141271962,-0.260977942580211,0.0577541132275457
"15","reiono","Re2","windward","eradicated_2018","exposed","3",2,0.562335144503454,0.811278124292712,"exposed",0.108038069791629,0.00842563531304229,-0.00670935080756748
"16","reiono","Re2","windward","eradicated_2018","exposed","4",1,0,NA,"exposed",0.173498567548412,-0.459059732056755,0.16669789373391
"17","rimatuu","Rm1","leeward","eradicated_2022","protected","1",3,0.846365829552358,0.77039537813512,"protected",0.269211283028315,-0.379123722215849,0.28734339091366
"18","rimatuu","Rm1","leeward","eradicated_2022","protected","2",2,0.62108637454194,0.896038232515362,"protected",0.198204460869472,0.410296352739037,0.182985904096501
"19","rimatuu","Rm1","leeward","eradicated_2022","protected","3",4,1.31046770852977,0.945302632170509,"protected",0.106053209303489,0.206736301222054,0.112204248621773
"20","rimatuu","Rm1","leeward","eradicated_2022","protected","4",5,1.25010188704386,0.776731974179242,"protected",0.16094842570942,0.0536487039068941,-0.120534713013335
"21","rimatuu","Rm2","windward","eradicated_2022","exposed","1",4,0.943526314802279,0.680610367656744,"exposed",0.150541231811498,0.434699639846653,-0.0889807724497386
"22","rimatuu","Rm2","windward","eradicated_2022","exposed","2",6,0.930414863049466,0.51927442216913,"exposed",0.0912369536621408,0.245258002059988,-0.0643765070972908
"23","rimatuu","Rm2","windward","eradicated_2022","exposed","3",3,0.579465692800775,0.527452404071762,"exposed",0.152176128624323,0.188947268276005,-0.241086213630348
"24","rimatuu","Rm2","windward","eradicated_2022","exposed","4",3,0.838569693731914,0.763299029495241,"exposed",0.171944782573709,0.12599293125436,0.244775558494504
