Motu,Transect_name,Transect,Longitude_start,Latitude_start,Longitude_end,Latitude_end,Exposure,Rat_treatment,Acropora_arborescent,Acropora_corymbose,Hard_Coral_encrusting,Hard_Coral_massive,Montipora_encrusting,Pavona_cactus,Pavona_encrusting,Porites_massive,Porites_rus,Porites_SubMassive,Corallimorpharia,Sea_cucumber,Tridacna_Giant_clam,Sand,Dead_coral,Pavement,Fish,Rubble,Sand_Rubble,Transect_Tape,CCA,Turf_algae,Turf_rubble,Macroalgae
Aie,Aie_north_benthic1,1,-149.53612,-17.007413,-149.53585,-17.007319,Exposed,No_rats,0.625,0.3125,0,0,0,0,0,0.625,0,5.9375,0,0,0.3125,44.6875,0,4.0625,0,17.5,16.25,0.9375,0,7.1875,0.3125,1.25
Aie,Aie_north_benthic2,2,-149.53564,-17.007211,-149.53582,-17.007131,Exposed,No_rats,0,0,0,0,0.297619048,0,0,2.678571429,0,10.41666667,0,0,0.892857143,25.89285714,0,5.357142857,0,29.46428571,12.79761905,1.19047619,0.297619048,10.11904762,0,0.595238095
Aie,Aie_north_benthic3,3,-149.53595,-17.006915,-149.53572,-17.007006,Exposed,No_rats,0,0,0,0,0,0,0,4.375,0,5.9375,0,0,0,40,0,14.375,0,8.125,12.8125,2.1875,0,10.625,0.9375,0.625
Aie,Aie_north_benthic4,4,-149.53571,-17.006867,-149.53589,-17.006774,Exposed,No_rats,0,0,0,0,1.420454545,0,0,1.136363636,0,5.681818182,0,0,0,27.84090909,0,23.01136364,0,12.21590909,7.102272727,1.136363636,0,19.60227273,0.284090909,0.568181818
Aie,Aie_south_benthic1,1,-149.53486,-17.009826,-149.53472,-17.010027,Protected,No_rats,0,0,0,0,0,0,0,2.380952381,0,2.678571429,0,0,0,31.8452381,0,11.60714286,0,19.64285714,16.36904762,2.678571429,0.297619048,8.928571429,0.892857143,2.678571429
Aie,Aie_south_benthic2,2,-149.53476,-17.009801,-149.53493,-17.009638,Protected,No_rats,0,0,0,0,0,0,0,3.869047619,0,8.035714286,0,0.297619048,0,26.48809524,0,11.60714286,0,25.89285714,11.9047619,2.083333333,0,7.44047619,0.892857143,1.488095238
Aie,Aie_south_benthic3,3,-149.53501,-17.010059,-149.53488,-17.010303,Protected,No_rats,0.3125,0.9375,0,0,0.3125,0,0,2.8125,0,3.75,0,0,0,45.3125,0,6.5625,0.3125,5.625,16.875,0.625,0,14.375,0.3125,1.875
Aie,Aie_south_benthic4,4,-149.53491,-17.01039,-149.5348,-17.010566,Protected,No_rats,0,1.136363636,0,0,0.284090909,0,0,3.693181818,0,6.25,0,0,0,45.73863636,0,7.954545455,0,8.238636364,9.375,1.136363636,0,12.5,2.556818182,1.136363636
Reiono,Reiono_site1_benthic1,1,-149.54811,-17.046685,-149.54807,-17.046953,Protected,rats_eradicated,0,0,0,0,0.27173913,0,0,0.543478261,0,11.14130435,0,0,0.27173913,10.32608696,0.543478261,25,0,32.33695652,3.260869565,1.630434783,0.27173913,8.423913043,1.086956522,4.891304348
Reiono,Reiono_site1_benthic2,2,-149.54798,-17.046324,-149.54798,-17.046637,Protected,rats_eradicated,0,0,0,0,0.520833333,0,0,5.208333333,0,3.90625,0,0,0,17.1875,0,26.5625,0,28.64583333,5.46875,2.083333333,0.520833333,4.166666667,1.302083333,4.427083333
