Date,Motu,Site,Transect,Distance,Benthos,Category,Notes
14-Nov-21,Aie,Exposed,1,0.5,sand,sand,next to bommie
14-Nov-21,Aie,Exposed,1,1,sand,sand,next to bommie
14-Nov-21,Aie,Exposed,1,1.5,sand,sand,
14-Nov-21,Aie,Exposed,1,2,rubble,rubble,
14-Nov-21,Aie,Exposed,1,2.5,sand,sand,
14-Nov-21,Aie,Exposed,1,3,porites,coral,
14-Nov-21,Aie,Exposed,1,3.5,rubble,rubble,
14-Nov-21,Aie,Exposed,1,4,sand,sand,next to bommie
14-Nov-21,Aie,Exposed,1,4.5,rubble,rubble,next to bommie
14-Nov-21,Aie,Exposed,1,5,rubble,rubble,
14-Nov-21,Aie,Exposed,1,5.5,rubble,rubble,
14-Nov-21,Aie,Exposed,1,6,rubble,rubble,
14-Nov-21,Aie,Exposed,1,6.5,rubble,rubble,
14-Nov-21,Aie,Exposed,1,7,rubble,rubble,
14-Nov-21,Aie,Exposed,1,7.5,rubble,rubble,
14-Nov-21,Aie,Exposed,1,8,rubble,rubble,
14-Nov-21,Aie,Exposed,1,8.5,rubble,rubble,
14-Nov-21,Aie,Exposed,1,9,sand,sand,
14-Nov-21,Aie,Exposed,1,9.5,sand,sand,
14-Nov-21,Aie,Exposed,1,10,rubble,rubble,
14-Nov-21,Aie,Exposed,1,10.5,rubble,rubble,
14-Nov-21,Aie,Exposed,1,11,rubble,rubble,
14-Nov-21,Aie,Exposed,1,11.5,sand,sand,
14-Nov-21,Aie,Exposed,1,12,sand,sand,
14-Nov-21,Aie,Exposed,1,12.5,rubble,rubble,
14-Nov-21,Aie,Exposed,1,13,sand,sand,
14-Nov-21,Aie,Exposed,1,13.5,sand,sand,
14-Nov-21,Aie,Exposed,1,14,sand,sand,
14-Nov-21,Aie,Exposed,1,14.5,sand,sand,
14-Nov-21,Aie,Exposed,1,15,rubble,rubble,
14-Nov-21,Aie,Exposed,1,15.5,porites,coral,
14-Nov-21,Aie,Exposed,1,16,porites,coral,
14-Nov-21,Aie,Exposed,1,16.5,sand,sand,next to bommie
14-Nov-21,Aie,Exposed,1,17,porites,coral,
14-Nov-21,Aie,Exposed,1,17.5,porites,coral,
14-Nov-21,Aie,Exposed,1,18,sand,sand,next to bommie
14-Nov-21,Aie,Exposed,1,18.5,porites,coral,
14-Nov-21,Aie,Exposed,1,19,porites,coral,
14-Nov-21,Aie,Exposed,1,19.5,sand,sand,
14-Nov-21,Aie,Exposed,1,20,sand,sand,
14-Nov-21,Aie,Exposed,1,20.5,sand,sand,
14-Nov-21,Aie,Exposed,1,21,porites,coral,
14-Nov-21,Aie,Exposed,1,21.5,sand,sand,
14-Nov-21,Aie,Exposed,1,22,porites,coral,
14-Nov-21,Aie,Exposed,1,22.5,porites,coral,
14-Nov-21,Aie,Exposed,1,23,sand,sand,
14-Nov-21,Aie,Exposed,1,23.5,rubble,rubble,
14-Nov-21,Aie,Exposed,1,24,sand,sand,
14-Nov-21,Aie,Exposed,1,24.5,sand,sand,
14-Nov-21,Aie,Exposed,1,25,sand,sand,
14-Nov-21,Aie,Exposed,1,25.5,rubble,rubble,
14-Nov-21,Aie,Exposed,1,26,porites,coral,
14-Nov-21,Aie,Exposed,1,26.5,porites,coral,
14-Nov-21,Aie,Exposed,1,27,rubble,rubble,
14-Nov-21,Aie,Exposed,1,27.5,rubble,rubble,
14-Nov-21,Aie,Exposed,1,28,rubble,rubble,
14-Nov-21,Aie,Exposed,1,28.5,sand,sand,next to bommie
14-Nov-21,Aie,Exposed,1,29,pavement/sand,pavement,
14-Nov-21,Aie,Exposed,1,29.5,rubble,rubble,
14-Nov-21,Aie,Exposed,1,30,rubble,rubble,
14-Nov-21,Aie,Exposed,2,0.5,sand,sand,
14-Nov-21,Aie,Exposed,2,1,sand,sand,
14-Nov-21,Aie,Exposed,2,1.5,porites,coral,
14-Nov-21,Aie,Exposed,2,2,sand,sand,
