Species,a_FishBase,b_FishBase,Trophic_level,Trophic_level_se,Diet_MB19,Diet_MB18,Diet_BEE20,Broad_diet,Notes
Abudefduf septemfasciatus,0.02188,3.08,3,0.4,NA,NA,NA,Omnivr,
Abudefduf sexfasciatus,0.02188,3.1,2.7,0.3,Plktiv,NA,Plktiv,Plktiv,
Acanthurus guttatus,0.03236,2.95,2,0,NA,NA,NA,HerDet,
Acanthurus lineatus,0.02239,2.96,2,0,HerDet,Herbivore-detritivore,HerDet,HerDet,
Acanthurus nigricans,0.02239,2.95,2,0,NA,Herbivore-detritivore,NA,HerDet,
Acanthurus nigricauda,0.02291,2.96,3,0.4,HerDet,Herbivore-detritivore,HerDet,HerDet,
Acanthurus nigrofuscus,0.02455,2.97,2,0,HerDet,Herbivore-detritivore,HerDet,HerDet,
Acanthurus olivaceus,0.0257,3.01,2.3,0.2,HerDet,Herbivore-detritivore,NA,HerDet,
Acanthurus sp,0.02291,2.96,2.3,NA,NA,NA,NA,HerDet,"*a, b based on LWR estimates for this genus-body shape. *trophic level took as mean trophic level of all other speces in survey, which = 2.3. "
Acanthurus triostegus,0.02399,2.96,2.8,0.4,NA,Herbivore-detritivore,HerDet,HerDet,
Arothron hispidus,0.03981,2.82,3.2,0,InvMob,NA,NA,InvMob,
Balistapus undulatus,0.02818,2.94,3.4,0.4,InvMob,NA,InvMob,InvMob,
Balistoides viridescens,0.03311,2.97,3.3,0.4,InvMob,NA,InvMob,InvMob,
Bothus mancus,0.01047,3.04,4.4,0,NA,NA,NA,FisCep,
Canthigaster solandri,0.0309,2.84,3,0.4,NA,NA,NA,Omnivr,
Caranx melampygus,0.01778,2.95,4.5,0.8,FisCep,Fish-cephalopod feeder,FisCep,FisCep,
Centropyge flavissima,0.03467,2.93,2.8,0.3,NA,NA,NA,Omnivr,
Cephalopholis argus,0.01202,3.05,4.5,0,FisCep,NA,FisCep,FisCep,
Chaetodon auriga,0.0257,2.98,3.7,0.3,InvMob,Mobile invertebrate feeder,InvMob,InvMob,
Chaetodon citrinellus,0.02291,2.95,3.5,0.3,InvSes,Sessile invertebrate feeder,NA,InvSes,
Chaetodon ephippium,0.02291,3.02,3,0.4,InvSes,NA,NA,InvSes,
Chaetodon lunula,0.02344,3,3.7,0.1,NA,NA,NA,InvSes,
Chaetodon lunulatus,0.02344,3,3.3,0.6,InvSes,Sessile invertebrate feeder,NA,InvSes,
Chaetodon ulietensis,0.02239,2.98,2.7,0.2,NA,NA,NA,Omnivr,
Chaetodon vagabundus,0.01995,2.98,2.9,0.4,InvMob,NA,NA,InvMob,
Cheilinus chlorourus,0.0182,2.94,3.5,0.5,InvMob,NA,NA,InvMob,
Cheilinus undulatus,0.01514,2.97,4,0.6,InvMob,Mobile invertebrate feeder,NA,InvMob,
Chlorurus spilurus,0.01259,3.03,2.6,0.3,HerDet,Herbivore-detritivore,NA,HerDet,"No trophic level info for C. spilurus, so took from C. sordidus (Indian Ocean equivalent) instead"
Pycnochromis iomelas,0.02188,3.03,2.7,0.3,NA,NA,NA,Plktiv,"Originally labelled chromis iomelas, but taxonomy changes"
Chromis viridis,0.02042,2.9,2.9,0.1,Plktiv,Planktivore,Plktiv,Plktiv,
Chrysiptera brownriggii,0.01445,3,2.7,0.3,NA,NA,Omnivr,Omnivr,
Chrysiptera glauca,0.01445,3,2.4,0.3,NA,Omnivore,NA,Omnivr,
Coris aygula,0.00813,3.13,3.7,0.5,InvMob,NA,NA,InvMob,
Coris gaimard,0.00977,3.07,3.5,0.2,InvMob,NA,NA,InvMob,
