"","fish.id","species","date.caught","month.caught","year.caught","site.name","motu","island.side","wind.exposure","date.processed","sif.name","sample.name","n15","c13","n.percent","c.percent","dup.n15","dup.c13","dup.n","dup.c","trip.n15","trip.c13","trip.n","trip.c","protection","TL.cm","FL.cm","SL.cm","whole.weight.g","gonad.weight.g","sex","stage.coarse","stage.detailed","liver.weight.g"
"1","AIE01","Acanthurus triostegus","17-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","3-Nov-21","230316 Plate 4 D2.raw","F77_AIE 01",8.55,-12.29,14.33,45.49,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",16.2,NA,13.4,106.12,4.71,"f","mature","",NA
"2","AIE02","Acanthurus triostegus","17-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","3-Nov-21","230316 Plate 4 D3.raw","F78_AIE 02",8.8,-12.44,14.31,45.56,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",15.5,NA,12.8,93.66,5.73,"f","mature","G",1.33
"3","AIE03","Acanthurus triostegus","17-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","3-Nov-21","230316 Plate 4 E1.raw","F79_AIE 03",8.38,-12.74,14.19,45.72,8.33,-12.81,14.24,45.86,8.33,-12.71,14.27,45.73,"Protected",17.1,NA,14.2,130.47,5.08,"f","mature","G",3.5
"4","AIE04","Acanthurus triostegus","17-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","3-Nov-21","230316 Plate 4 E4.raw","F80_AIE 04",7.55,-11.75,14.35,45.76,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",15.2,NA,12.6,81.31,3.43,"f","mature","NG",0.59
"5","AIE05","Lutjanus fulvus","17-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","3-Nov-21","230316 Plate 4 E5.raw","F81_AIE 05",9.68,-9.92,14.55,45.88,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",24.6,NA,19.8,235,1.79,"f","mature","",1.38
"6","AIE06","Lutjanus fulvus","17-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","3-Nov-21","230316 Plate 4 E6.raw","F82_AIE 06",9.64,-9.65,14.49,45.8,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",27.2,NA,21.3,305,1.86,"f","mature","",1.11
"7","AIE07","Lutjanus fulvus","17-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","3-Nov-21","230316 Plate 4 E7.raw","F83_AIE 07",10.19,-10.25,14.42,45.94,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",24.5,NA,18.9,208.79,1.56,"f","developing","",0.88
"8","AIE08","Lutjanus fulvus","17-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","3-Nov-21","230316 Plate 4 E8.raw","F84_AIE 08",9.68,-9.02,14.42,45.29,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",28.4,NA,22.7,365,3.36,"f","mature","G",1.29
"9","AIE09","Lutjanus fulvus","17-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","3-Nov-21","230316 Plate 4 E9.raw","F85_AIE 09",10.44,-11.17,14.55,45.63,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",27.2,NA,22.1,330,4.52,"f","mature","NG",1.6
"10","AIE10","Cephalopholis argus","17-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","13-Nov-21","230309 Plate 1 B3.raw","AIE 10",11.38,-11.48,14.6,45.58,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",33.2,NA,27.5,391.33,NA,"m","","",1.57
