fish.id,species,date.caught,month.caught,year.caught,motu,island.side,wind.exposure,date.processed,TL.cm,FL.cm,SL.cm,whole.weight.g,otoliths.label,otoliths.number,gonad.weight.g,sex,stage.coarse,stage.detailed,liver.weight.g,age.final,notes,notes.2
AIE01,Acanthurus triostegus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,16.2,,13.4,106.12, Box 1 - A1,1,4.71,f,mature,,,8,,
AIE02,Acanthurus triostegus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,15.5,,12.8,93.66, Box 1 - A2,1,5.73,f,mature,G,1.33,3,,
AIE03,Acanthurus triostegus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,17.1,,14.2,130.47, Box 1 - A3,1,5.08,f,mature,G,3.5,5,,
AIE04,Acanthurus triostegus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,15.2,,12.6,81.31, Box 1 - A4,1,3.43,f,mature,NG,0.59,2,,
AIE05,Lutjanus fulvus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,24.6,,19.8,235, Box 1 - A5 + A6,2,1.79,f,mature,,1.38,4,,
AIE06,Lutjanus fulvus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,27.2,,21.3,305, Box 1 - A7 + A8 (A8 broken),2 (A8 broken),1.86,f,mature,,1.11,6,,
AIE07,Lutjanus fulvus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,24.5,,18.9,208.79, Box 1 - A9 + A10,2,1.56,f,developing,,0.88,5,,
AIE08,Lutjanus fulvus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,28.4,,22.7,365, epindorph - AIE 08,2,3.36,f,mature,G,1.29,6,,
AIE09,Lutjanus fulvus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,27.2,,22.1,330, epindorph - AIE 09,2,4.52,f,mature,NG,1.6,7,,
AIE10,Cephalopholis argus,17-Jul-21,July,2021,Aie,south,leeward,13-Nov-21,33.2,,27.5,391.33,Box 2 - C5,1 broken,,m,,,1.57,10,,
AIE11,Stegastes nigricans,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,15,,11.1,90,Box 1 - B2,2,,unk,unk,unk,0.17,6,,
AIE13,Lutjanus fulvus,24-Jul-21,July,2021,Aie,south,leeward,13-Nov-21,25.1,23.3,19.3,222.91,eppendorf,2 (1 broken),1.52,m?,,,0.64,4,,
AIE14,Stegastes nigricans,29-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,14.2,,11,71.48,Box 1 - B4,2,1.04,f,mature,G,0.15,6,,
AIE15,Stegastes nigricans,29-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,13.2,11.7,9.6,49.07,Box 1 -  B10,2,,m,,,0.17,6,,
AIE17,Abudefduf septemfasciatus,29-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,18.1,16.2,13.9,144.23,Box 1 - B5,2,,m,,,0.209,5,,
AIE18,Abudefduf septemfasciatus,29-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,14.9,13.4,11.1,79.46,Box 1 - B6,2,,m,,,,2,,
AIE19,Abudefduf septemfasciatus,29-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,17.7,16,13.6,143.42,Box 1 - B7,2,,m,,,0.35,4,,
AIE20,Abudefduf septemfasciatus,29-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,14.6,13.6,10.1,80.95,Box 1 - B8,1,,m,,,0.17,2,,
AIE21,Acanthurus triostegus,29-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,14.5,,12,78.7,Box 1 - B9,2,2.75,f,mature,NG,0.24,2,,
AIE22,Stegastes nigricans,29-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,14.9,13.4,11.4,82.72,Box 1 - B11,2 (one broken),,m,,,,6,,
