fish.id,species,date.caught,month.caught,year.caught,motu,island.side,wind.exposure,date.processed,sif.name,sample.name,n15,c13,n.percent,c.percent,dup.n15,dup.c13,dup.n,dup.c,trip.n15,trip.c13,trip.n,trip.c
AIE01,Acanthurus triostegus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,230316 Plate 4 D2.raw,F77_AIE 01,8.55,-12.29,14.33,45.49,,,,,,,,
AIE02,Acanthurus triostegus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,230316 Plate 4 D3.raw,F78_AIE 02,8.8,-12.44,14.31,45.56,,,,,,,,
AIE03,Acanthurus triostegus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,230316 Plate 4 E1.raw,F79_AIE 03,8.38,-12.74,14.19,45.72,8.33,-12.81,14.24,45.86,8.33,-12.71,14.27,45.73
AIE04,Acanthurus triostegus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,230316 Plate 4 E4.raw,F80_AIE 04,7.55,-11.75,14.35,45.76,,,,,,,,
AIE05,Lutjanus fulvus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,230316 Plate 4 E5.raw,F81_AIE 05,9.68,-9.92,14.55,45.88,,,,,,,,
AIE06,Lutjanus fulvus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,230316 Plate 4 E6.raw,F82_AIE 06,9.64,-9.65,14.49,45.8,,,,,,,,
AIE07,Lutjanus fulvus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,230316 Plate 4 E7.raw,F83_AIE 07,10.19,-10.25,14.42,45.94,,,,,,,,
AIE08,Lutjanus fulvus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,230316 Plate 4 E8.raw,F84_AIE 08,9.68,-9.02,14.42,45.29,,,,,,,,
AIE09,Lutjanus fulvus,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,230316 Plate 4 E9.raw,F85_AIE 09,10.44,-11.17,14.55,45.63,,,,,,,,
AIE10,Cephalopholis argus,17-Jul-21,July,2021,Aie,south,leeward,13-Nov-21,230309 Plate 1 B3.raw,AIE 10,11.38,-11.48,14.6,45.58,,,,,,,,
AIE11,Stegastes nigricans,17-Jul-21,July,2021,Aie,south,leeward,3-Nov-21,230316 Plate 4 A6.raw,F56_AIE 11,9.23,-12.7,14.35,45.94,,,,,,,,
