station,site-name,lat,long,lat-end,long-end,motu,island-side,distance-from-shore,distance-from-shore-end,transect-replicate-name,rat-eradication-date,associated-seabird-100m-transect-start,associated-seabird-100m-transect-end,associated-seabird-addit-100m-transect-start,associated-seabird-addit-100m-transect-end,sample-set
A1Ta10,A1,17.00918,149.53554,NA,NA,aie,protected,10,,Ta,None,946,947,947,948,microbe-transects
A1Ta20,A1,17.00924,149.53558,NA,NA,aie,protected,20,,Ta,None,946,947,947,948,microbe-transects
A1Ta20,A1,17.00931,149.53563,NA,NA,aie,protected,30,,Ta,None,946,947,947,948,microbe-transects
A1Ta40,A1,17.00941,149.53574,NA,NA,aie,protected,40,,Ta,None,946,947,947,948,microbe-transects
A1Tb10,A1,17.00905,149.53566,NA,NA,aie,protected,10,,Tb,None,946,947,947,948,microbe-transects
A1Tb20,A1,17.00915,149.53574,NA,NA,aie,protected,20,,Tb,None,946,947,947,948,microbe-transects
A1Tb30,A1,17.00924,149.53583,NA,NA,aie,protected,30,,Tb,None,946,947,947,948,microbe-transects
A1Tb40,A1,17.00928,149.53592,NA,NA,aie,protected,40,,Tb,None,946,947,947,948,microbe-transects
A1Tc10,A1,17.00891,149.5359,NA,NA,aie,protected,10,,Tc,None,946,947,947,948,microbe-transects
A1Tc20,A1,17.00895,149.53598,NA,NA,aie,protected,20,,Tc,None,946,947,947,948,microbe-transects
A1Tc30,A1,17.00899,149.53604,NA,NA,aie,protected,30,,Tc,None,946,947,947,948,microbe-transects
A1Tc40,A1,17.00907,149.53612,NA,NA,aie,protected,40,,Tc,None,946,947,947,948,microbe-transects
A2Ta10,A2,17.00774,149.5361,NA,NA,aie,exposed,10,,Ta,None,950,945,949,950,microbe-transects
A2Ta20,A2,17.00763,149.53613,NA,NA,aie,exposed,20,,Ta,None,950,945,949,950,microbe-transects
A2Ta30,A2,17.00757,149.53619,NA,NA,aie,exposed,30,,Ta,None,950,945,949,950,microbe-transects
A2Ta40,A2,17.00749,149.53615,NA,NA,aie,exposed,40,,Ta,None,950,945,949,950,microbe-transects
A2Tb10,A2,17.00767,149.53595,NA,NA,aie,exposed,10,,Tb,None,950,945,949,950,microbe-transects
A2Tb20,A2,17.00759,149.53596,NA,NA,aie,exposed,20,,Tb,None,950,945,949,950,microbe-transects
A2Tb30,A2,17.0075,149.536,NA,NA,aie,exposed,30,,Tb,None,950,945,949,950,microbe-transects
A2Tb40,A2,17.00742,149.536,NA,NA,aie,exposed,40,,Tb,None,950,945,949,950,microbe-transects
A2Tc10,A2,17.00764,149.53572,NA,NA,aie,exposed,10,,Tc,None,950,945,949,950,microbe-transects
A2Tc20,A2,17.00761,149.53572,NA,NA,aie,exposed,20,,Tc,None,950,945,949,950,microbe-transects
A2Tc30,A2,17.00749,149.53572,NA,NA,aie,exposed,30,,Tc,None,950,945,949,950,microbe-transects
A2Tc40,A2,17.00739,149.53574,NA,NA,aie,exposed,40,,Tc,None,950,945,949,950,microbe-transects
Re1Ta10,Re1,17.04528,149.54781,NA,NA,reiono,protected,10,,Ta,2018,1139,1140,1138,1139,microbe-transects
Re1Ta20,Re1,17.04528,149.54791,NA,NA,reiono,protected,20,,Ta,2018,1139,1140,1138,1139,microbe-transects
Re1Ta30,Re1,17.04528,149.54802,NA,NA,reiono,protected,30,,Ta,2018,1139,1140,1138,1139,microbe-transects
Re1Ta40,Re1,17.04526,149.5481,NA,NA,reiono,protected,40,,Ta,2018,1139,1140,1138,1139,microbe-transects
Re1Tb10,Re1,17.04634,149.54778,NA,NA,reiono,protected,10,,Tb,2018,1139,1140,1138,1139,microbe-transects
