sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Blank_KitC	285	180	63.16	175	175	61.4	175	61.4
Blank_KitCD	8868	6700	75.55	6626	6602	74.45	6594	74.36
Blank_KitF	4318	3432	79.48	3409	3403	78.81	3403	78.81
Mock	21836	16958	77.66	16822	14703	67.33	10898	49.91
NTC_4	2551	2029	79.54	2006	2004	78.56	2004	78.56
NTC_5	231	93	40.26	74	69	29.87	69	29.87
TC148	56170	44311	78.89	43630	42893	76.36	26583	47.33
TC149	46357	36500	78.74	36271	35913	77.47	32619	70.36
TC150	55350	44361	80.15	43952	43412	78.43	38625	69.78
TC152	53736	41663	77.53	40600	39358	73.24	19236	35.8
TC153	32609	20767	63.68	20597	20393	62.54	17353	53.22
TC154	64256	50326	78.32	48975	46806	72.84	24262	37.76
TC156	65329	52024	79.63	51010	49064	75.1	22241	34.04
TC157	58163	46767	80.41	46182	45355	77.98	35903	61.73
TC158	48092	38030	79.08	37110	36440	75.77	33173	68.98
TC159	71467	56978	79.73	54493	50951	71.29	31736	44.41
TC160	63435	50877	80.2	50498	49584	78.17	20953	33.03
TC161	66373	53894	81.2	53235	52177	78.61	29336	44.2
TC162	80215	63914	79.68	62483	60160	75	32854	40.96
TC163	74030	59365	80.19	58126	56639	76.51	43580	58.87
TC164	58225	45956	78.93	45347	44408	76.27	30341	52.11
TC165	77166	61988	80.33	61390	60049	77.82	31156	40.38
TC166	38358	31061	80.98	29970	29077	75.8	18173	47.38
TC167	46487	37943	81.62	37471	36863	79.3	29420	63.29
TC168	78349	63642	81.23	63009	61982	79.11	36957	47.17
TC169	49724	39623	79.69	39164	38488	77.4	23380	47.02
TC170	70196	56975	81.17	55934	54696	77.92	34919	49.74
TC171	62253	50289	80.78	50182	49737	79.89	46855	75.27
TC172	75697	60727	80.22	59581	57400	75.83	27848	36.79
TC173	56997	46236	81.12	46141	45726	80.23	44090	77.35
TC174	63176	51010	80.74	50812	50170	79.41	22133	35.03
TC175	67339	54783	81.35	54508	53769	79.85	26325	39.09
TC176	69871	56596	81	56193	55632	79.62	32476	46.48
TC177	71668	58308	81.36	56086	51139	71.36	39465	55.07
TC178	66349	50468	76.06	50117	49554	74.69	45596	68.72
TC179	175900	142656	81.1	141990	139804	79.48	128800	73.22
TC180	62958	50127	79.62	49732	48754	77.44	19516	31
TC181	60485	48890	80.83	48708	48171	79.64	44194	73.07
TC182	58832	47398	80.56	46659	46023	78.23	26707	45.4
TC183	56787	46301	81.53	45764	44919	79.1	19876	35
TC184	247314	198316	80.19	197832	196363	79.4	108328	43.8
TC185	49195	39926	81.16	39321	38530	78.32	27367	55.63
TC186	63612	50925	80.06	50310	49513	77.84	35361	55.59
TC187	38511	30684	79.68	30554	30240	78.52	27206	70.64
TC188	49359	39143	79.3	38193	37449	75.87	33980	68.84
TC189	44545	35698	80.14	35220	34809	78.14	31004	69.6
TC190	40748	32166	78.94	31792	31347	76.93	29349	72.03
TC191	49737	39357	79.13	39076	38733	77.88	35105	70.58
TC192	74336	58617	78.85	57267	55415	74.55	44394	59.72
TC193	66620	49752	74.68	47181	43932	65.94	30780	46.2
TC194	58708	46659	79.48	45751	44864	76.42	23985	40.85
TC195	256996	201861	78.55	200780	197357	76.79	162578	63.26
TC196	1429	955	66.83	936	910	63.68	864	60.46
TC197	53298	42463	79.67	41878	41123	77.16	35633	66.86
TC198	145574	115825	79.56	115325	113762	78.15	104071	71.49
TC199	60186	48063	79.86	47899	47283	78.56	45194	75.09
TC200	53694	42600	79.34	42391	41764	77.78	33400	62.2
TC201	77465	62818	81.09	62461	61754	79.72	53746	69.38
TC202	55263	43442	78.61	42535	41735	75.52	24888	45.04
TC203	61416	49224	80.15	48684	48139	78.38	40710	66.29
TC204	86327	68658	79.53	68320	67327	77.99	64147	74.31
TC205	62950	50316	79.93	50181	49670	78.9	46350	73.63
TC206	53066	43197	81.4	43037	42641	80.35	39518	74.47
TC207	52161	42688	81.84	42460	41958	80.44	35711	68.46
TC208	55378	45355	81.9	45011	44480	80.32	20383	36.81
TC209	45186	36226	80.17	35930	35571	78.72	18851	41.72
TC210	53339	43409	81.38	43287	42635	79.93	29236	54.81
TC211	54846	44989	82.03	44935	44469	81.08	42957	78.32
TC212	56740	46049	81.16	45558	44850	79.04	22814	40.21
TC213	45502	37190	81.73	37054	36792	80.86	35185	77.33
TC214	48863	39052	79.92	38724	38280	78.34	21404	43.8
TC215	66931	54243	81.04	53550	52106	77.85	25685	38.38
TC216	50403	39398	78.17	39263	38685	76.75	37603	74.6
TC217	55567	45165	81.28	44667	43751	78.74	16809	30.25
TC218	48695	38652	79.38	38395	38027	78.09	34046	69.92
