sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Blank_KitD	10283	7666	74.55	7630	7556	73.48	7556	73.48
Blank_KitE	8156	5410	66.33	5397	5370	65.84	5370	65.84
Blank_KitG	12847	9469	73.71	9402	9339	72.69	9339	72.69
Mock	48027	34387	71.6	34142	30285	63.06	22424	46.69
NTC2	3061	2285	74.65	2251	2249	73.47	2249	73.47
NTC3	40	1	2.5	1	1	2.5	1	2.5
TW145	58518	46843	80.05	44781	42573	72.75	38832	66.36
TW146	80137	64334	80.28	61781	58814	73.39	53423	66.66
TW147	71626	57514	80.3	55109	52063	72.69	48268	67.39
TW148	72055	57917	80.38	55895	53088	73.68	48577	67.42
TW149	81361	64953	79.83	62633	59347	72.94	53440	65.68
TW150	102856	82367	80.08	79370	74754	72.68	66330	64.49
TW151	91048	71033	78.02	68881	65645	72.1	59693	65.56
TW152	100200	79629	79.47	77324	73293	73.15	66619	66.49
TW153	71041	57041	80.29	54800	51977	73.16	47419	66.75
TW154	84631	68058	80.42	65848	62559	73.92	56062	66.24
TW155	72474	58305	80.45	55859	53229	73.45	48705	67.2
TW156	61041	48870	80.06	47114	44973	73.68	41218	67.53
TW157	81356	65344	80.32	60939	55706	68.47	49940	61.38
TW158	72822	58763	80.69	55891	52726	72.4	46878	64.37
TW159	85233	64903	76.15	62262	58127	68.2	52022	61.04
TW160	83150	66544	80.03	64134	60736	73.04	54643	65.72
TW161	71018	57789	81.37	52243	46383	65.31	43423	61.14
TW162	73364	58879	80.26	53294	47615	64.9	44422	60.55
TW163	57640	46586	80.82	44096	41358	71.75	37421	64.92
TW164	69497	56368	81.11	52926	49165	70.74	44684	64.3
TW165	71961	54763	76.1	48335	40974	56.94	39665	55.12
TW166	84142	66672	79.24	59598	52479	62.37	50553	60.08
TW167	76435	55523	72.64	49146	42315	55.36	41086	53.75
TW168	80211	65212	81.3	57927	50145	62.52	48450	60.4
TW169	88943	70997	79.82	61064	50523	56.8	48875	54.95
TW170	94055	75104	79.85	65412	54780	58.24	52970	56.32
TW171	86552	68570	79.22	60283	50294	58.11	49326	56.99
TW172	68402	53759	78.59	46203	38793	56.71	37532	54.87
TW173	96524	76002	78.74	66851	56331	58.36	53554	55.48
TW174	105238	82525	78.42	72455	60713	57.69	58576	55.66
TW175	85968	63068	73.36	54123	44421	51.67	43296	50.36
TW176	85298	64837	76.01	55886	45455	53.29	44652	52.35
TW177	90575	74447	82.19	65748	55202	60.95	53107	58.63
TW178	92545	74951	80.99	65222	54643	59.04	53075	57.35
TW179	90453	74392	82.24	64928	54081	59.79	52003	57.49
TW180	69478	53301	76.72	44995	37219	53.57	36254	52.18
TW181	96427	76851	79.7	68740	58152	60.31	54533	56.55
TW182	74780	60219	80.53	53817	46210	61.79	43992	58.83
TW183	86418	68355	79.1	61056	52407	60.64	49893	57.73
TW184	100340	81630	81.35	73051	61851	61.64	60049	59.85
TW185	113947	94756	83.16	85340	73745	64.72	69455	60.95
TW186	96856	79319	81.89	71893	62957	65	60035	61.98
TW187	62030	40772	65.73	36179	28717	46.3	27708	44.67
TW188	74582	62054	83.2	55418	48615	65.18	45927	61.58
TW189	66864	52539	78.58	45332	38247	57.2	37041	55.4
TW190	69661	55312	79.4	48545	41792	59.99	40772	58.53
TW191	92651	76176	82.22	69451	61397	66.27	58030	62.63
TW192	61844	47234	76.38	42116	36175	58.49	34201	55.3
TW193	106207	88939	83.74	79327	67651	63.7	63868	60.14
TW194	112243	92606	82.5	83638	71586	63.78	67489	60.13
TW195	128652	107907	83.88	99971	88784	69.01	82018	63.75
TW196	88714	73644	83.01	67120	59373	66.93	55775	62.87
TW197	75558	62326	82.49	54763	47159	62.41	44814	59.31
TW198	77364	64310	83.13	57449	49456	63.93	46801	60.49
TW199	92273	75420	81.74	67663	58269	63.15	56178	60.88
TW200	65517	49737	75.91	43730	37109	56.64	35615	54.36
TW201	67829	55086	81.21	48676	42522	62.69	40822	60.18
TW202	53174	39514	74.31	34235	29549	55.57	28307	53.23
TW203	76968	63315	82.26	57626	50149	65.16	47402	61.59
TW204	65746	53678	81.64	48047	41569	63.23	39802	60.54
TW205	24689	15012	60.8	11996	9971	40.39	9699	39.28
TW206	50537	35051	69.36	30130	24702	48.88	24342	48.17
TW207	61823	42598	68.9	37102	31950	51.68	30741	49.72
TW208	75319	56123	74.51	49950	43771	58.11	41964	55.72
TW209	76923	62906	81.78	56174	48706	63.32	46017	59.82
TW210	27791	11621	41.82	9236	6553	23.58	6415	23.08
TW211	92311	75982	82.31	67986	58134	62.98	55259	59.86
TW212	74263	61013	82.16	54095	46333	62.39	43977	59.22
TW213	56800	44751	78.79	39428	34864	61.38	33124	58.32
TW214	64317	49300	76.65	43451	37473	58.26	36268	56.39
TW215	92362	74181	80.32	66187	56728	61.42	53834	58.29
TW216	63468	45994	72.47	40077	34321	54.08	32626	51.41
