"sample.id","Observed","Shannon","FaithPD","collection.date","motu","island.side","station","site","transect","distance.along.transect","lat","long","sample.type","health.state","algae.N15","algae.C13.not.acid","algae.N.percent","rat.status","mL_sterivex","Evenness","RelAbund_Rhodospirillales_AEGEAN_169_marine_group","RelAbund_SAR11_CladeIa","RelAbund_SAR11_CladeIb","RelAbund_SAR11_CladeII","RelAbund_Prochlorococcus","RelAbund_SAR116_Clade","RelAbund_SAR86_Clade","RelAbund_Synechococcus","RelAbund_Cellvibrionales_Aestuariicella","RelAbund_Alteromonadales_Agaribacter","RelAbund_Cytophagales_Candidatus_Amoebophilus","RelAbund_Endozoicomonas","RelAbund_Alteromonadales_Glaciecola","RelAbund_Oceanospirillales_Neptuniibacter","RelAbund_Cellvibrionales_Porticoccus","RelAbund_Woesearchaeales_SCGC_AAA286E23","RelAbund_Litoricola","RelAbund_Uncultured_Alteromonadaceaeae","NMDS1","NMDS2","beta_dispersion_motu_islandside","site.name"
"TC148",43,1.590371757,8.11270344,"8-Nov-21","aie","leeward","A1Ta20",1,"a",20,17.00924,149.53558,"coral","D5",8.04,-7.82,0.34,"none",NA,0.422836251217847,NA,NA,NA,NA,NA,NA,NA,NA,0.0254645560908465,0,0.000688231245698555,0.397109428768066,0,0,0,0.503785271851342,0.0240880935994494,0.0137646249139711,-2.84476170791056,2.50558852537812,0.662342756641635,"A1"
"TC149",14,1.497680838,2.718268582,"8-Nov-21","aie","leeward","A1Ta20",1,"a",30,17.00931,149.53563,"coral","D5",6.31,-8.46,0.48,"none",NA,0.567505988291032,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00619408121128699,0.955953200275293,0,0,0,0,0.0178940123881624,0.0116999311768754,2.11214138114015,-0.318435412352674,0.387179683709366,"A1"
"TC150",14,1.518673551,2.049601112,"8-Nov-21","aie","leeward","A1Ta40",1,"a",40,17.00941,149.53574,"coral","D5",5.67,-9.13,0.32,"none",NA,0.575460613893296,NA,NA,NA,NA,NA,NA,NA,NA,0.000688231245698555,0,0,0.965588437715072,0,0,0,0,0.0103234686854783,0.0172057811424639,2.33375921024709,-0.179131926382838,0.393110602150745,"A1"
"TC152",87,1.28527247,13.77066724,"8-Nov-21","aie","leeward","A1Tb20",1,"b",20,17.00915,149.53574,"coral","D5",6.6,-8.52,0.36,"none",NA,0.287796442705858,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00206469373709566,0,0.783895388850654,0.000688231245698555,0.000688231245698555,0,0,0.0495526496902959,0.0350997935306263,-3.63600153783741,0.129743400529252,0.634633930095995,"A1"
"TC153",5,1.275787571,0.256003658,"8-Nov-21","aie","leeward","A1Tb30",1,"b",30,17.00924,149.53583,"coral","D4/D5",5.81,-9.54,0.34,"none",NA,0.792691386939251,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.986235375086029,0,0,0,0,0.0137646249139711,0,3.02123440664438,-0.0801481729183623,0.407180617157512,"A1"
"TC154",224,3.816734176,27.33719355,"8-Nov-21","aie","leeward","A1Tb40",1,"b",40,17.00928,149.53592,"coral","E5",5.28,-8.89,0.3,"none",NA,0.705281561178909,NA,NA,NA,NA,NA,NA,NA,NA,0.000688231245698555,0.0130763936682725,0.0199587061252581,0.354439091534756,0.00206469373709566,0.00344115622849277,0,0,0.0729525120440468,0.0598761183757743,-3.63409815011597,-1.42228356235864,0.58441334575743,"A1"
"TC156",330,4.968920262,37.29071883,"8-Nov-21","aie","leeward","A1Tc20",1,"c",20,17.00895,149.53598,"coral","E5",7.86,-7.92,0.31,"none",NA,0.856844433788797,NA,NA,NA,NA,NA,NA,NA,NA,0.0116999311768754,0.0103234686854783,0,0.0192704748795595,0,0.000688231245698555,0,0,0.164487267721955,0.0516173434273916,-4.10065891403759,-3.23112943278179,0.699296762847397,"A1"
"TC157",58,2.110154139,10.24959672,"8-Nov-21","aie","leeward","A1Tc30",1,"c",30,17.00899,149.53604,"coral","D5",NA,NA,NA,"none",NA,0.519685692797357,NA,NA,NA,NA,NA,NA,NA,NA,0.00137646249139711,0.00963523743977977,0,0.786648313833448,0.00275292498279422,0,0,0.00137646249139711,0.0481761871988988,0.0357880247763248,0.384661363942485,-1.05424248525956,0.341084309448497,"A1"
"TC158",28,1.45363124,5.058712795,"8-Nov-21","aie","leeward","A1Tc40",1,"c",40,17.00907,149.53612,"coral","E5",7.06,-8.82,0.49,"none",NA,0.436237102363075,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.930488644184446,0,0,0,0,0.00688231245698555,0.0199587061252581,1.76574330160472,-0.620356212313882,0.385931947363222,"A1"
"TC159",269,4.086150959,30.33816053,"9-Nov-21","aie","windward","A2Ta10",2,"a",10,17.00774,149.5361,"coral","E5",8.45,-9.34,0.44,"none",NA,0.730359563122057,NA,NA,NA,NA,NA,NA,NA,NA,0.00137646249139711,0.037164487267722,0,0.169993117687543,0.10942876806607,0.0929112181693049,0.00275292498279422,0.00137646249139711,0.0295939435650379,0.130075705437027,-3.93338172325951,-2.29411287173091,0.505201865493765,"A2"
