"","var1","var2","cor","statistic","p","conf.low","conf.high","method"
"1","br_bio_100m","br_bio_100m",1,Inf,0,1,1,"Pearson"
"2","br_bio_100m","br_dens_100m",0.95,6.40854941964069,0.00305,0.634881673999993,0.995178708977252,"Pearson"
"3","br_bio_100m","a_bio_100m",1,21.0794339551381,2.99e-05,0.95783112525537,0.999534006543967,"Pearson"
"4","br_bio_100m","a_dens_100m",0.97,7.73821388623346,0.0015,0.731004745439454,0.996642770970719,"Pearson"
"5","br_dens_100m","br_bio_100m",0.95,6.40854941964069,0.00305,0.634881673999993,0.995178708977252,"Pearson"
"6","br_dens_100m","br_dens_100m",1,Inf,0,1,1,"Pearson"
"7","br_dens_100m","a_bio_100m",0.97,8.70226384792275,0.00096,0.779834571972017,0.997326668437474,"Pearson"
"8","br_dens_100m","a_dens_100m",1,26.4847010182474,1.21e-05,0.97303552429537,0.999704296071175,"Pearson"
"9","a_bio_100m","br_bio_100m",1,21.0794339551381,2.99e-05,0.95783112525537,0.999534006543967,"Pearson"
"10","a_bio_100m","br_dens_100m",0.97,8.70226384792275,0.00096,0.779834571972017,0.997326668437474,"Pearson"
"11","a_bio_100m","a_bio_100m",1,134217728,1.85e-32,0.999999999999999,1,"Pearson"
"12","a_bio_100m","a_dens_100m",0.99,11.8435696444249,0.000291,0.873403444905161,0.998538706754351,"Pearson"
"13","a_dens_100m","br_bio_100m",0.97,7.73821388623346,0.0015,0.731004745439454,0.996642770970719,"Pearson"
"14","a_dens_100m","br_dens_100m",1,26.4847010182474,1.21e-05,0.97303552429537,0.999704296071175,"Pearson"
"15","a_dens_100m","a_bio_100m",0.99,11.8435696444249,0.000291,0.873403444905161,0.998538706754351,"Pearson"
"16","a_dens_100m","a_dens_100m",1,Inf,0,1,1,"Pearson"
