"","var1","var2","cor","statistic","p","conf.low","conf.high","method"
"1","br_bio_motu","br_bio_motu",1,Inf,0,1,1,"Pearson"
"2","br_bio_motu","br_dens_motu",0.94,5.41658922378123,0.00563,0.530142302367597,0.993376947532501,"Pearson"
"3","br_bio_motu","a_bio_motu",0.98,10.6970953553481,0.000433,0.847443987715039,0.99821460457977,"Pearson"
"4","br_bio_motu","a_dens_motu",0.95,6.38891910933858,0.00308,0.633130540051331,0.99515045992802,"Pearson"
"5","br_dens_motu","br_bio_motu",0.94,5.41658922378123,0.00563,0.530142302367597,0.993376947532501,"Pearson"
"6","br_dens_motu","br_dens_motu",1,Inf,0,1,1,"Pearson"
"7","br_dens_motu","a_bio_motu",0.99,11.7302716603717,0.000302,0.871137177995466,0.998510766689429,"Pearson"
"8","br_dens_motu","a_dens_motu",1,39.7047863823736,2.4e-06,0.987892912236522,0.999868210041327,"Pearson"
"9","a_bio_motu","br_bio_motu",0.98,10.6970953553481,0.000433,0.847443987715039,0.99821460457977,"Pearson"
"10","a_bio_motu","br_dens_motu",0.99,11.7302716603717,0.000302,0.871137177995466,0.998510766689429,"Pearson"
"11","a_bio_motu","a_bio_motu",1,94906265.6242515,7.4e-32,0.999999999999998,1,"Pearson"
"12","a_bio_motu","a_dens_motu",0.99,16.7919956843008,7.37e-05,0.934508529488174,0.999267649013087,"Pearson"
"13","a_dens_motu","br_bio_motu",0.95,6.38891910933858,0.00308,0.633130540051331,0.99515045992802,"Pearson"
"14","a_dens_motu","br_dens_motu",1,39.7047863823736,2.4e-06,0.987892912236522,0.999868210041327,"Pearson"
"15","a_dens_motu","a_bio_motu",0.99,16.7919956843008,7.37e-05,0.934508529488174,0.999267649013087,"Pearson"
"16","a_dens_motu","a_dens_motu",1,134217728,1.85e-32,0.999999999999999,1,"Pearson"
