"","var1","var2","cor","statistic","p","conf.low","conf.high","method"
"1","br_bio_side","br_bio_side",1,94906265.6242515,7.4e-32,0.999999999999998,1,"Pearson"
"2","br_bio_side","br_dens_side",0.86,3.33675925031167,0.0289,0.151906024097259,0.984193157857949,"Pearson"
"3","br_bio_side","a_bio_side",0.84,3.08242625113467,0.0368,0.0856130251357523,0.981937445589737,"Pearson"
"4","br_bio_side","a_dens_side",0.77,2.41503991997643,0.0732,-0.110356035807719,0.973350776960602,"Pearson"
"5","br_dens_side","br_bio_side",0.86,3.33675925031167,0.0289,0.151906024097259,0.984193157857949,"Pearson"
"6","br_dens_side","br_dens_side",1,Inf,0,1,1,"Pearson"
"7","br_dens_side","a_bio_side",0.94,5.68253542713692,0.00473,0.561781928493257,0.993946345964538,"Pearson"
"8","br_dens_side","a_dens_side",0.95,6.04779594555906,0.00377,0.600795424280033,0.99461787694607,"Pearson"
"9","a_bio_side","br_bio_side",0.84,3.08242625113467,0.0368,0.0856130251357523,0.981937445589737,"Pearson"
"10","a_bio_side","br_dens_side",0.94,5.68253542713692,0.00473,0.561781928493257,0.993946345964538,"Pearson"
"11","a_bio_side","a_bio_side",1,134217728,1.85e-32,0.999999999999999,1,"Pearson"
"12","a_bio_side","a_dens_side",0.99,13.2044243809074,0.00019,0.89660907931809,0.998821002942499,"Pearson"
"13","a_dens_side","br_bio_side",0.77,2.41503991997643,0.0732,-0.110356035807719,0.973350776960602,"Pearson"
"14","a_dens_side","br_dens_side",0.95,6.04779594555906,0.00377,0.600795424280033,0.99461787694607,"Pearson"
"15","a_dens_side","a_bio_side",0.99,13.2044243809074,0.00019,0.89660907931809,0.998821002942499,"Pearson"
"16","a_dens_side","a_dens_side",1,Inf,0,1,1,"Pearson"
