"","var1","var2","cor","statistic","p","conf.low","conf.high","method"
"1","breeding_biomass_kgha_side","breeding_biomass_kgha_side",1,94906265.6242515,7.4e-32,0.999999999999998,1,"Pearson"
"2","breeding_biomass_kgha_side","breeding_density_ha_side",0.86,3.33675925031167,0.0289,0.151906024097259,0.984193157857949,"Pearson"
"3","breeding_biomass_kgha_side","adult_biomass_kgha_side",0.84,3.08242625113467,0.0368,0.0856130251357523,0.981937445589737,"Pearson"
"4","breeding_biomass_kgha_side","adult_density_ha_side",0.77,2.41503991997643,0.0732,-0.110356035807719,0.973350776960602,"Pearson"
"5","breeding_biomass_kgha_side","iti_breeding_density_ha_side",-0.28,-0.593634743417049,0.585,-0.890473708444589,0.685259101960503,"Pearson"
"6","breeding_biomass_kgha_side","iti_breeding_biomass_kgha_side",0.26,0.540525289147614,0.618,-0.698573798720522,0.885062084129545,"Pearson"
"7","breeding_biomass_kgha_side","iti_adult_density_ha_side",-0.31,-0.660615191308011,0.545,-0.896905023331124,0.667936058121054,"Pearson"
"8","breeding_biomass_kgha_side","iti_adult_biomass_kgha_side",0.32,0.677772894043947,0.535,-0.663405595588385,0.898484454861805,"Pearson"
"9","breeding_density_ha_side","breeding_biomass_kgha_side",0.86,3.33675925031167,0.0289,0.151906024097259,0.984193157857949,"Pearson"
"10","breeding_density_ha_side","breeding_density_ha_side",1,Inf,0,1,1,"Pearson"
"11","breeding_density_ha_side","adult_biomass_kgha_side",0.94,5.68253542713692,0.00473,0.561781928493257,0.993946345964538,"Pearson"
"12","breeding_density_ha_side","adult_density_ha_side",0.95,6.04779594555906,0.00377,0.600795424280033,0.99461787694607,"Pearson"
"13","breeding_density_ha_side","iti_breeding_density_ha_side",-0.21,-0.430780317814174,0.689,-0.872949917353245,0.724867884078042,"Pearson"
"14","breeding_density_ha_side","iti_breeding_biomass_kgha_side",0.19,0.386568458239346,0.719,-0.734985634421974,0.86769772951855,"Pearson"
"15","breeding_density_ha_side","iti_adult_density_ha_side",-0.23,-0.47704068731069,0.658,-0.878212820603952,0.71398744120345,"Pearson"
"16","breeding_density_ha_side","iti_adult_biomass_kgha_side",0.46,1.0224945043118,0.364,-0.565128803005488,0.925034374587815,"Pearson"
"17","adult_biomass_kgha_side","breeding_biomass_kgha_side",0.84,3.08242625113467,0.0368,0.0856130251357523,0.981937445589737,"Pearson"
