"","breeding_biomass_kgha_200m","breeding_biomass_kgha_side","breeding_biomass_kgha_motu","breeding_density_ha_100m","breeding_density_ha_200m","breeding_density_ha_side","breeding_density_ha_motu","adult_biomass_kgha_100m","adult_biomass_kgha_200m","adult_biomass_kgha_side","adult_biomass_kgha_motu","adult_density_ha_100m","adult_density_ha_200m","adult_density_ha_side","adult_density_ha_motu"
"breeding_biomass_kgha_200m",1,0.872466610937566,0.741319747919373,0.97931951843793,0.844962091138162,0.908590818730599,0.846752628702866,0.99741291241523,0.997695426738756,0.757517345172448,0.8089828012415,0.986965154767436,0.976302503279241,0.750134141378637,0.837980601523729
"breeding_biomass_kgha_side",0.872466610937566,1,0.791779013466721,0.805176164240203,0.62465403272175,0.857725949412663,0.739740853835974,0.845041959311649,0.888271914004249,0.838888172131212,0.776688722733639,0.810274354066295,0.812779102037657,0.770183395579031,0.75301325842797
"breeding_biomass_kgha_motu",0.741319747919373,0.791779013466721,1,0.787584791356922,0.815602879226833,0.904438518297547,0.938094864991747,0.694057392031642,0.720396825539648,0.877133790359578,0.982967019122204,0.747880244433317,0.798665677233686,0.863032496160349,0.954332603091091
"breeding_density_ha_100m",0.97931951843793,0.805176164240203,0.787584791356922,1,0.934691087196786,0.945269221468537,0.918694723598934,0.974592375573365,0.96803165620706,0.792601733846829,0.869603194333229,0.997160857172254,0.99863845417698,0.811024842753037,0.906749105295183
"breeding_density_ha_200m",0.844962091138162,0.62465403272175,0.815602879226833,0.934691087196786,1,0.925314831711502,0.965323280028221,0.833562255655621,0.819432768358347,0.797002210726665,0.907938698176433,0.912337076036194,0.939352405541057,0.853902336255086,0.951034877285027
"breeding_density_ha_side",0.908590818730599,0.857725949412663,0.904438518297547,0.945269221468537,0.925314831711502,1,0.964728671715274,0.883962102484377,0.901747350728219,0.943281755157545,0.950729024996994,0.930122302753727,0.955223997279992,0.949430966120087,0.963424517834118
"breeding_density_ha_motu",0.846752628702866,0.739740853835974,0.938094864991747,0.918694723598934,0.965323280028221,0.964728671715274,1,0.818934638758601,0.822919724368755,0.875869753747997,0.985774450592218,0.888409777474262,0.926479041929159,0.902179415533371,0.998733752002817
"adult_biomass_kgha_100m",0.99741291241523,0.845041959311649,0.694057392031642,0.974592375573365,0.833562255655621,0.883962102484377,0.818934638758601,1,0.995740982576383,0.720053416797453,0.771289921324468,0.986039672303636,0.969805346992355,0.717005797385364,0.807123623622981
"adult_biomass_kgha_200m",0.997695426738756,0.888271914004249,0.720396825539648,0.96803165620706,0.819432768358347,0.901747350728219,0.822919724368755,0.995740982576383,1,0.76345012441015,0.786185046960717,0.979518707611736,0.966233371335588,0.750514853251832,0.814386237154362
"adult_biomass_kgha_side",0.757517345172448,0.838888172131212,0.877133790359578,0.792601733846829,0.797002210726665,0.943281755157545,0.875869753747997,0.720053416797453,0.76345012441015,1,0.89033301088156,0.775706213846122,0.815649778906188,0.988722937690274,0.882819303882714
"adult_biomass_kgha_motu",0.8089828012415,0.776688722733639,0.982967019122204,0.869603194333229,0.907938698176433,0.950729024996994,0.985774450592218,0.771289921324468,0.786185046960717,0.89033301088156,1,0.834268676722867,0.879110201228332,0.897450047984563,0.992981658204954
"adult_density_ha_100m",0.986965154767436,0.810274354066295,0.747880244433317,0.997160857172254,0.912337076036194,0.930122302753727,0.888409777474262,0.986039672303636,0.979518707611736,0.775706213846122,0.834268676722867,1,0.995432392156927,0.791226420005106,0.874862110454104
"adult_density_ha_200m",0.976302503279241,0.812779102037657,0.798665677233686,0.99863845417698,0.939352405541057,0.955223997279992,0.926479041929159,0.969805346992355,0.966233371335588,0.815649778906188,0.879110201228332,0.995432392156927,1,0.833060822551,0.915072349520875
"adult_density_ha_side",0.750134141378637,0.770183395579031,0.863032496160349,0.811024842753037,0.853902336255086,0.949430966120087,0.902179415533371,0.717005797385364,0.750514853251832,0.988722937690274,0.897450047984563,0.791226420005106,0.833060822551,1,0.90346291975133
"adult_density_ha_motu",0.837980601523729,0.75301325842797,0.954332603091091,0.906749105295183,0.951034877285027,0.963424517834118,0.998733752002817,0.807123623622981,0.814386237154362,0.882819303882714,0.992981658204954,0.874862110454104,0.915072349520875,0.90346291975133,1
