"","breeding_biomass_kgha_100m","breeding_biomass_kgha_200m","breeding_biomass_kgha_side","breeding_biomass_kgha_motu","breeding_density_ha_100m","breeding_density_ha_200m","breeding_density_ha_side","breeding_density_ha_motu","adult_biomass_kgha_100m","adult_biomass_kgha_200m","adult_biomass_kgha_side","adult_biomass_kgha_motu","adult_density_ha_100m","adult_density_ha_200m","adult_density_ha_side","adult_density_ha_motu"
"breeding_biomass_kgha_100m",1,0.927633657043918,0.898645105261295,0.970142500145332,1,0.911764705882353,0.985610760609162,0.970142500145332,0.985610760609162,0.927633657043918,0.985610760609162,0.970142500145332,0.985610760609162,0.927633657043918,0.927633657043918,0.970142500145332
"breeding_biomass_kgha_200m",0.927633657043918,1,0.885714285714286,0.956182887467515,0.927633657043918,0.869656553478673,0.942857142857143,0.956182887467515,0.942857142857143,1,0.942857142857143,0.956182887467515,0.942857142857143,1,0.885714285714286,0.956182887467515
"breeding_biomass_kgha_side",0.898645105261295,0.885714285714286,1,0.836660026534075,0.898645105261295,0.695725242782938,0.942857142857143,0.836660026534075,0.942857142857143,0.885714285714286,0.942857142857143,0.836660026534075,0.942857142857143,0.885714285714286,0.828571428571429,0.836660026534075
"breeding_biomass_kgha_motu",0.970142500145332,0.956182887467515,0.836660026534075,1,0.970142500145332,0.970142500145332,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1
"breeding_density_ha_100m",1,0.927633657043918,0.898645105261295,0.970142500145332,1,0.911764705882353,0.985610760609162,0.970142500145332,0.985610760609162,0.927633657043918,0.985610760609162,0.970142500145332,0.985610760609162,0.927633657043918,0.927633657043918,0.970142500145332
"breeding_density_ha_200m",0.911764705882353,0.869656553478673,0.695725242782938,0.970142500145332,0.911764705882353,1,0.869656553478673,0.970142500145332,0.869656553478673,0.869656553478673,0.869656553478673,0.970142500145332,0.869656553478673,0.869656553478673,0.927633657043918,0.970142500145332
"breeding_density_ha_side",0.985610760609162,0.942857142857143,0.942857142857143,0.956182887467515,0.985610760609162,0.869656553478673,1,0.956182887467515,1,0.942857142857143,1,0.956182887467515,1,0.942857142857143,0.942857142857143,0.956182887467515
"breeding_density_ha_motu",0.970142500145332,0.956182887467515,0.836660026534075,1,0.970142500145332,0.970142500145332,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1
"adult_biomass_kgha_100m",0.985610760609162,0.942857142857143,0.942857142857143,0.956182887467515,0.985610760609162,0.869656553478673,1,0.956182887467515,1,0.942857142857143,1,0.956182887467515,1,0.942857142857143,0.942857142857143,0.956182887467515
"adult_biomass_kgha_200m",0.927633657043918,1,0.885714285714286,0.956182887467515,0.927633657043918,0.869656553478673,0.942857142857143,0.956182887467515,0.942857142857143,1,0.942857142857143,0.956182887467515,0.942857142857143,1,0.885714285714286,0.956182887467515
"adult_biomass_kgha_side",0.985610760609162,0.942857142857143,0.942857142857143,0.956182887467515,0.985610760609162,0.869656553478673,1,0.956182887467515,1,0.942857142857143,1,0.956182887467515,1,0.942857142857143,0.942857142857143,0.956182887467515
"adult_biomass_kgha_motu",0.970142500145332,0.956182887467515,0.836660026534075,1,0.970142500145332,0.970142500145332,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1
"adult_density_ha_100m",0.985610760609162,0.942857142857143,0.942857142857143,0.956182887467515,0.985610760609162,0.869656553478673,1,0.956182887467515,1,0.942857142857143,1,0.956182887467515,1,0.942857142857143,0.942857142857143,0.956182887467515
"adult_density_ha_200m",0.927633657043918,1,0.885714285714286,0.956182887467515,0.927633657043918,0.869656553478673,0.942857142857143,0.956182887467515,0.942857142857143,1,0.942857142857143,0.956182887467515,0.942857142857143,1,0.885714285714286,0.956182887467515
"adult_density_ha_side",0.927633657043918,0.885714285714286,0.828571428571429,0.956182887467515,0.927633657043918,0.927633657043918,0.942857142857143,0.956182887467515,0.942857142857143,0.885714285714286,0.942857142857143,0.956182887467515,0.942857142857143,0.885714285714286,1,0.956182887467515
"adult_density_ha_motu",0.970142500145332,0.956182887467515,0.836660026534075,1,0.970142500145332,0.970142500145332,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1
