"dataset","MMJJ","Speed_N","Speed_mean","Speed_sd","Speed_se","Direction_N","Direction_mean","Direction_sd","Direction_se"
"benthic_fish_surveys","11_10",6,7.4,0.66332495807108,0.270801280154532,6,123.333333333333,18.6189867250253,7.60116950066092
"benthic_fish_surveys","11_8",6,2.08333333333333,1.49855485941178,0.611782459521175,6,175,90.0555384193554,36.7650196065046
"benthic_fish_surveys","11_14",6,2.36666666666667,1.03666130759601,0.423215206616103,6,168.333333333333,122.379192131124,49.9610959758802
"benthic_fish_surveys","11_6",6,3.7,1.35499077487635,0.553172667437573,6,93.3333333333333,20.6559111797729,8.43274042711568
"fish_collection","11_12",6,5.48333333333333,0.511533641774094,0.208832734769028,6,110,12.6491106406735,5.16397779494322
"fish_collection","11_27",6,7.16666666666667,1.3351654079801,0.545078995294362,6,86.6666666666667,12.11060141639,4.94413232473044
"fish_collection","12_10",6,6.15,0.969020123630051,0.39560080889705,6,76.6666666666667,10.3279555898864,4.21637021355784
"fish_collection","12_13",6,5.36666666666667,0.524086506854228,0.213957420478416,6,78.3333333333333,9.83192080250175,4.01386485959743
"fish_collection","6_20",6,2.35,1.41102799405256,0.576049766368613,6,253.333333333333,154.876294721519,63.2279825534374
"fish_collection","7_17",6,9.93333333333333,1.43759057685652,0.586893895388634,6,91.6666666666667,17.2240142436851,7.03167436990966
"fish_collection","7_24",6,4.05,1.42653426176871,0.582380173655205,6,98.3333333333333,34.8807492274273,14.2400062421959
"fish_collection","7_29",6,2.25,1.01538170162752,0.414527843857724,6,126.666666666667,55.0151494287407,22.4598407038974
"fish_collection","7_30",6,5.45,2.20249858115732,0.899166280506559,6,130,14.142135623731,5.77350269189626
"transects","11_10",5,6.82,1.7005881335585,0.760526133673262,5,120,15.8113883008419,7.07106781186547
"transects","11_11",4,7.3,0.637704215656966,0.318852107828483,4,127.5,9.57427107756338,4.78713553878169
"transects","11_7",5,1.34,0.826438140455775,0.369594372251527,5,222,93.9148550549912,42
"transects","11_8",5,1.88,1.54499190936393,0.690941386804988,5,176,111.48990985735,49.8598034492716
"transects","11_9",5,3.06,2.74098522433084,1.22580585738525,5,200,58.309518948453,26.0768096208106
